donation_id,donor_id,date,amount,campaign
DN00000001,D00001,2023-01-04,150,Year-End Giving
DN00000002,D00001,2023-04-23,100,Back to School
DN00000003,D00001,2023-07-27,1000,Back to School
DN00000004,D00001,2023-10-17,100,Year-End Giving
DN00000005,D00001,2024-01-16,500,Annual Gala
DN00000006,D00001,2024-04-13,100,Spring Appeal
DN00000007,D00001,2024-07-12,25,Annual Gala
DN00000008,D00001,2024-10-20,1000,Back to School
DN00000009,D00001,2025-01-15,150,Summer Drive
DN00000010,D00001,2025-04-28,1500,Year-End Giving
DN00000011,D00001,2025-07-03,250,Spring Appeal
DN00000012,D00002,2023-01-04,1500,Year-End Giving
DN00000013,D00002,2023-02-01,500,Back to School
DN00000014,D00002,2023-03-08,1000,Spring Appeal
DN00000015,D00002,2023-04-19,500,Summer Drive
DN00000016,D00002,2023-05-13,150,Year-End Giving
DN00000017,D00002,2023-06-27,1000,Annual Gala
DN00000018,D00002,2023-07-23,250,Back to School
DN00000019,D00002,2023-08-11,250,Summer Drive
DN00000020,D00002,2023-09-09,100,Spring Appeal
DN00000021,D00002,2023-10-13,50,Back to School
DN00000022,D00002,2023-11-02,50,Summer Drive
DN00000023,D00002,2023-12-15,150,Year-End Giving
DN00000024,D00002,2024-01-05,1500,Annual Gala
DN00000025,D00002,2024-02-19,50,Back to School
DN00000026,D00002,2024-03-11,500,Year-End Giving
DN00000027,D00002,2024-04-01,50,Back to School
DN00000028,D00002,2024-05-16,75,Spring Appeal
DN00000029,D00002,2024-06-09,500,Back to School
DN00000030,D00002,2024-07-28,1500,Annual Gala
DN00000031,D00002,2024-08-17,100,Summer Drive
DN00000032,D00002,2024-09-17,1500,Year-End Giving
DN00000033,D00002,2024-10-08,150,Year-End Giving
DN00000034,D00002,2024-11-02,500,Back to School
DN00000035,D00002,2024-12-21,1000,Year-End Giving
DN00000036,D00002,2025-01-19,150,Spring Appeal
DN00000037,D00002,2025-02-13,50,Annual Gala
DN00000038,D00002,2025-03-27,50,Spring Appeal
DN00000039,D00002,2025-04-15,150,Summer Drive
DN00000040,D00002,2025-05-08,150,Spring Appeal
DN00000041,D00002,2025-06-28,75,Annual Gala
DN00000042,D00002,2025-07-08,25,Back to School
DN00000043,D00002,2025-08-10,150,Annual Gala
DN00000044,D00002,2025-09-27,25,Spring Appeal
DN00000045,D00003,2023-01-10,250,Annual Gala
DN00000046,D00003,2023-02-26,100,Back to School
DN00000047,D00003,2023-03-05,250,Annual Gala
DN00000048,D00003,2023-04-11,1000,Summer Drive
DN00000049,D00003,2023-05-22,1000,Spring Appeal
DN00000050,D00003,2023-06-28,50,Summer Drive
DN00000051,D00003,2023-07-11,1500,Annual Gala
DN00000052,D00003,2023-08-02,50,Summer Drive
DN00000053,D00003,2023-09-10,150,Back to School
DN00000054,D00003,2023-10-28,150,Annual Gala
DN00000055,D00003,2023-11-27,100,Annual Gala
DN00000056,D00003,2023-12-28,150,Summer Drive
DN00000057,D00003,2024-01-01,1500,Back to School
DN00000058,D00003,2024-02-28,1000,Back to School
DN00000059,D00003,2024-03-01,25,Year-End Giving
DN00000060,D00003,2024-04-01,100,Annual Gala
DN00000061,D00003,2024-05-14,75,Spring Appeal
DN00000062,D00003,2024-06-10,2500,Year-End Giving
DN00000063,D00003,2024-07-15,100,Summer Drive
DN00000064,D00003,2024-08-08,1500,Spring Appeal
DN00000065,D00003,2024-09-21,25,Annual Gala
DN00000066,D00003,2024-10-25,75,Annual Gala
DN00000067,D00003,2024-11-04,1500,Summer Drive
DN00000068,D00003,2024-12-18,1000,Summer Drive
DN00000069,D00003,2025-01-03,250,Back to School
DN00000070,D00003,2025-02-24,2500,Back to School
DN00000071,D00003,2025-03-23,25,Year-End Giving
DN00000072,D00003,2025-04-07,50,Annual Gala
DN00000073,D00003,2025-05-10,2500,Spring Appeal
DN00000074,D00003,2025-06-20,2500,Back to School
DN00000075,D00003,2025-07-14,150,Year-End Giving
DN00000076,D00003,2025-08-07,50,Back to School
DN00000077,D00003,2025-09-27,100,Year-End Giving
DN00000078,D00004,2023-12-03,50,Summer Drive
DN00000079,D00004,2024-12-09,1500,Spring Appeal
DN00000080,D00005,2023-04-03,250,Year-End Giving
DN00000081,D00005,2024-04-07,150,Spring Appeal
DN00000082,D00005,2025-04-23,50,Annual Gala
DN00000083,D00006,2023-01-27,25,Back to School
DN00000084,D00006,2023-02-15,50,Annual Gala
DN00000085,D00006,2023-03-15,50,Annual Gala
DN00000086,D00006,2023-04-27,150,Spring Appeal
DN00000087,D00006,2023-05-03,500,Spring Appeal
DN00000088,D00006,2023-06-24,25,Spring Appeal
DN00000089,D00006,2023-07-28,500,Year-End Giving
DN00000090,D00006,2023-08-05,100,Year-End Giving
DN00000091,D00006,2023-09-07,2500,Spring Appeal
DN00000092,D00006,2023-10-01,1500,Back to School
DN00000093,D00006,2023-11-07,500,Spring Appeal
DN00000094,D00006,2023-12-06,50,Back to School
DN00000095,D00006,2024-01-06,75,Back to School
DN00000096,D00006,2024-02-12,50,Back to School
DN00000097,D00006,2024-03-09,25,Annual Gala
DN00000098,D00006,2024-04-13,2500,Annual Gala
DN00000099,D00006,2024-05-08,50,Spring Appeal
DN00000100,D00006,2024-06-15,2500,Spring Appeal
DN00000101,D00006,2024-07-25,1000,Annual Gala
DN00000102,D00006,2024-08-05,150,Annual Gala
DN00000103,D00006,2024-09-02,250,Summer Drive
DN00000104,D00006,2024-10-01,1000,Annual Gala
DN00000105,D00006,2024-11-07,2500,Year-End Giving
DN00000106,D00006,2024-12-13,25,Spring Appeal
DN00000107,D00006,2025-01-12,2500,Year-End Giving
DN00000108,D00006,2025-02-06,75,Annual Gala
DN00000109,D00006,2025-03-26,50,Summer Drive
DN00000110,D00006,2025-04-27,2500,Back to School
DN00000111,D00006,2025-05-05,2500,Back to School
DN00000112,D00006,2025-06-27,2500,Summer Drive
DN00000113,D00006,2025-07-12,75,Spring Appeal
DN00000114,D00006,2025-08-02,1500,Summer Drive
DN00000115,D00006,2025-09-14,50,Spring Appeal
DN00000116,D00007,2023-07-07,1000,Summer Drive
DN00000117,D00007,2024-07-01,50,Annual Gala
DN00000118,D00007,2025-07-22,250,Year-End Giving
DN00000119,D00008,2023-04-02,1000,Back to School
DN00000120,D00008,2023-10-27,1000,Annual Gala
DN00000121,D00008,2024-04-20,1500,Spring Appeal
DN00000122,D00008,2024-10-15,2500,Spring Appeal
DN00000123,D00008,2025-04-14,75,Back to School
DN00000124,D00009,2023-01-11,250,Back to School
DN00000125,D00009,2023-07-02,75,Summer Drive
DN00000126,D00009,2024-01-20,75,Summer Drive
DN00000127,D00009,2024-07-14,250,Annual Gala
DN00000128,D00009,2025-01-04,100,Year-End Giving
DN00000129,D00009,2025-07-18,1500,Year-End Giving
DN00000130,D00010,2023-03-26,2500,Back to School
DN00000131,D00010,2023-09-23,500,Annual Gala
DN00000132,D00010,2024-03-26,50,Year-End Giving
DN00000133,D00010,2024-09-03,1500,Spring Appeal
DN00000134,D00010,2025-03-15,1000,Spring Appeal
DN00000135,D00010,2025-09-01,1000,Year-End Giving
DN00000136,D00011,2023-02-19,50,Annual Gala
DN00000137,D00011,2023-05-02,1500,Back to School
DN00000138,D00011,2023-08-04,1500,Year-End Giving
DN00000139,D00011,2023-11-26,25,Summer Drive
DN00000140,D00011,2024-02-23,150,Back to School
DN00000141,D00011,2024-05-16,1500,Year-End Giving
DN00000142,D00011,2024-08-14,250,Year-End Giving
DN00000143,D00011,2024-11-12,100,Annual Gala
DN00000144,D00011,2025-02-06,250,Year-End Giving
DN00000145,D00011,2025-05-16,2500,Year-End Giving
DN00000146,D00011,2025-08-07,1000,Back to School
DN00000147,D00012,2023-02-20,100,Back to School
DN00000148,D00012,2023-05-10,250,Spring Appeal
DN00000149,D00012,2023-08-13,1500,Back to School
DN00000150,D00012,2023-11-15,1000,Year-End Giving
DN00000151,D00012,2024-02-27,500,Year-End Giving
DN00000152,D00012,2024-05-03,250,Back to School
DN00000153,D00012,2024-08-07,250,Year-End Giving
DN00000154,D00012,2024-11-26,1000,Annual Gala
DN00000155,D00012,2025-02-17,50,Back to School
DN00000156,D00012,2025-05-26,1000,Summer Drive
DN00000157,D00012,2025-08-04,1000,Spring Appeal
DN00000158,D00013,2023-08-27,100,Back to School
DN00000159,D00013,2024-08-12,75,Year-End Giving
DN00000160,D00013,2025-08-11,150,Year-End Giving
DN00000161,D00014,2023-01-22,1500,Year-End Giving
DN00000162,D00014,2023-02-26,500,Back to School
DN00000163,D00014,2023-03-23,50,Year-End Giving
DN00000164,D00014,2023-04-17,50,Back to School
DN00000165,D00014,2023-05-19,1500,Annual Gala
DN00000166,D00014,2023-06-05,50,Back to School
DN00000167,D00014,2023-07-06,250,Year-End Giving
DN00000168,D00014,2023-08-26,100,Back to School
DN00000169,D00014,2023-09-22,150,Spring Appeal
DN00000170,D00014,2023-10-20,25,Summer Drive
DN00000171,D00014,2023-11-09,50,Back to School
DN00000172,D00014,2023-12-10,1500,Back to School
DN00000173,D00014,2024-01-22,75,Back to School
DN00000174,D00014,2024-02-16,250,Spring Appeal
DN00000175,D00014,2024-03-25,250,Annual Gala
DN00000176,D00014,2024-04-25,250,Annual Gala
DN00000177,D00014,2024-05-22,2500,Summer Drive
DN00000178,D00014,2024-06-06,1000,Annual Gala
DN00000179,D00014,2024-07-23,250,Year-End Giving
DN00000180,D00014,2024-08-11,75,Summer Drive
DN00000181,D00014,2024-09-08,50,Summer Drive
DN00000182,D00014,2024-10-05,150,Summer Drive
DN00000183,D00014,2024-11-21,50,Year-End Giving
DN00000184,D00014,2024-12-26,250,Spring Appeal
DN00000185,D00014,2025-01-20,50,Annual Gala
DN00000186,D00014,2025-02-10,100,Summer Drive
DN00000187,D00014,2025-03-28,75,Back to School
DN00000188,D00014,2025-04-16,250,Spring Appeal
DN00000189,D00014,2025-05-04,2500,Spring Appeal
DN00000190,D00014,2025-06-04,1500,Annual Gala
DN00000191,D00014,2025-07-03,500,Annual Gala
DN00000192,D00014,2025-08-05,500,Back to School
DN00000193,D00014,2025-09-06,250,Summer Drive
DN00000194,D00015,2023-04-25,100,Summer Drive
DN00000195,D00015,2024-04-25,500,Year-End Giving
DN00000196,D00015,2025-04-09,100,Spring Appeal
DN00000197,D00016,2023-03-25,50,Spring Appeal
DN00000198,D00016,2023-06-03,25,Spring Appeal
DN00000199,D00016,2023-09-27,1000,Summer Drive
DN00000200,D00016,2023-12-24,1000,Year-End Giving
DN00000201,D00016,2024-03-24,100,Spring Appeal
DN00000202,D00016,2024-06-11,2500,Spring Appeal
DN00000203,D00016,2024-09-21,250,Annual Gala
DN00000204,D00016,2024-12-06,500,Spring Appeal
DN00000205,D00016,2025-03-16,500,Annual Gala
DN00000206,D00016,2025-06-25,1000,Summer Drive
DN00000207,D00016,2025-09-27,1000,Year-End Giving
DN00000208,D00017,2023-08-19,1500,Year-End Giving
DN00000209,D00017,2024-08-11,1000,Annual Gala
DN00000210,D00017,2025-08-20,500,Summer Drive
DN00000211,D00018,2023-03-17,150,Annual Gala
DN00000212,D00018,2023-06-01,1500,Spring Appeal
DN00000213,D00018,2023-09-11,25,Year-End Giving
DN00000214,D00018,2023-12-15,75,Year-End Giving
DN00000215,D00018,2024-03-15,100,Spring Appeal
DN00000216,D00018,2024-06-28,150,Annual Gala
DN00000217,D00018,2024-09-08,50,Back to School
DN00000218,D00018,2024-12-25,250,Spring Appeal
DN00000219,D00018,2025-03-28,250,Year-End Giving
DN00000220,D00018,2025-06-12,250,Year-End Giving
DN00000221,D00018,2025-09-28,1000,Back to School
DN00000222,D00019,2023-02-04,50,Back to School
DN00000223,D00019,2023-05-28,75,Back to School
DN00000224,D00019,2023-08-16,75,Year-End Giving
DN00000225,D00019,2023-11-26,2500,Spring Appeal
DN00000226,D00019,2024-02-27,2500,Spring Appeal
DN00000227,D00019,2024-05-06,2500,Year-End Giving
DN00000228,D00019,2024-08-04,25,Back to School
DN00000229,D00019,2024-11-18,150,Summer Drive
DN00000230,D00019,2025-02-27,100,Back to School
DN00000231,D00019,2025-05-23,50,Spring Appeal
DN00000232,D00019,2025-08-22,250,Annual Gala
DN00000233,D00020,2023-02-12,1500,Summer Drive
DN00000234,D00020,2023-05-20,2500,Summer Drive
DN00000235,D00020,2023-08-09,150,Spring Appeal
DN00000236,D00020,2023-11-17,2500,Year-End Giving
DN00000237,D00020,2024-02-03,25,Summer Drive
DN00000238,D00020,2024-05-02,50,Summer Drive
DN00000239,D00020,2024-08-04,150,Back to School
DN00000240,D00020,2024-11-18,1000,Summer Drive
DN00000241,D00020,2025-02-25,1500,Summer Drive
DN00000242,D00020,2025-05-07,75,Summer Drive
DN00000243,D00020,2025-08-26,2500,Year-End Giving
DN00000244,D00021,2023-06-08,100,Spring Appeal
DN00000245,D00021,2024-06-09,250,Annual Gala
DN00000246,D00021,2025-06-26,25,Summer Drive
DN00000247,D00022,2023-05-22,500,Back to School
DN00000248,D00022,2024-05-26,1500,Back to School
DN00000249,D00022,2025-05-25,50,Year-End Giving
DN00000250,D00023,2023-05-12,1500,Annual Gala
DN00000251,D00023,2024-05-21,100,Spring Appeal
DN00000252,D00023,2025-05-27,150,Summer Drive
DN00000253,D00024,2023-02-27,100,Summer Drive
DN00000254,D00024,2023-05-26,50,Summer Drive
DN00000255,D00024,2023-08-25,100,Back to School
DN00000256,D00024,2023-11-12,150,Spring Appeal
DN00000257,D00024,2024-02-06,50,Year-End Giving
DN00000258,D00024,2024-05-02,150,Annual Gala
DN00000259,D00024,2024-08-03,2500,Summer Drive
DN00000260,D00024,2024-11-23,1500,Annual Gala
DN00000261,D00024,2025-02-03,2500,Year-End Giving
DN00000262,D00024,2025-05-20,1000,Summer Drive
DN00000263,D00024,2025-08-21,500,Year-End Giving
DN00000264,D00025,2023-03-11,250,Spring Appeal
DN00000265,D00025,2023-06-05,250,Annual Gala
DN00000266,D00025,2023-09-20,50,Spring Appeal
DN00000267,D00025,2023-12-10,150,Summer Drive
DN00000268,D00025,2024-03-06,1000,Year-End Giving
DN00000269,D00025,2024-06-02,150,Spring Appeal
DN00000270,D00025,2024-09-15,75,Back to School
DN00000271,D00025,2024-12-10,100,Summer Drive
DN00000272,D00025,2025-03-24,25,Year-End Giving
DN00000273,D00025,2025-06-27,75,Spring Appeal
DN00000274,D00025,2025-09-20,100,Annual Gala
DN00000275,D00026,2023-05-05,50,Annual Gala
DN00000276,D00026,2024-05-21,75,Spring Appeal
DN00000277,D00026,2025-05-21,250,Annual Gala
DN00000278,D00027,2023-05-14,1000,Year-End Giving
DN00000279,D00027,2024-05-06,250,Year-End Giving
DN00000280,D00027,2025-05-05,250,Annual Gala
DN00000281,D00028,2023-01-03,2500,Back to School
DN00000282,D00028,2023-02-27,25,Annual Gala
DN00000283,D00028,2023-03-10,1000,Spring Appeal
DN00000284,D00028,2023-04-04,25,Spring Appeal
DN00000285,D00028,2023-05-27,75,Spring Appeal
DN00000286,D00028,2023-06-21,250,Year-End Giving
DN00000287,D00028,2023-07-10,1500,Back to School
DN00000288,D00028,2023-08-01,50,Year-End Giving
DN00000289,D00028,2023-09-27,150,Spring Appeal
DN00000290,D00028,2023-10-09,50,Spring Appeal
DN00000291,D00028,2023-11-08,1500,Summer Drive
DN00000292,D00028,2023-12-15,2500,Annual Gala
DN00000293,D00028,2024-01-26,100,Year-End Giving
DN00000294,D00028,2024-02-16,2500,Summer Drive
DN00000295,D00028,2024-03-09,250,Summer Drive
DN00000296,D00028,2024-04-15,150,Spring Appeal
DN00000297,D00028,2024-05-27,1000,Summer Drive
DN00000298,D00028,2024-06-07,1500,Year-End Giving
DN00000299,D00028,2024-07-01,25,Spring Appeal
DN00000300,D00028,2024-08-15,1500,Back to School
DN00000301,D00028,2024-09-05,1000,Back to School
DN00000302,D00028,2024-10-18,75,Year-End Giving
DN00000303,D00028,2024-11-23,150,Year-End Giving
DN00000304,D00028,2024-12-17,50,Year-End Giving
DN00000305,D00028,2025-01-18,1000,Year-End Giving
DN00000306,D00028,2025-02-09,1000,Annual Gala
DN00000307,D00028,2025-03-16,1500,Spring Appeal
DN00000308,D00028,2025-04-19,25,Spring Appeal
DN00000309,D00028,2025-05-27,250,Back to School
DN00000310,D00028,2025-06-27,25,Summer Drive
DN00000311,D00028,2025-07-19,100,Year-End Giving
DN00000312,D00028,2025-08-02,1000,Back to School
DN00000313,D00028,2025-09-10,150,Spring Appeal
DN00000314,D00029,2023-06-17,500,Annual Gala
DN00000315,D00029,2023-12-14,75,Summer Drive
DN00000316,D00029,2024-06-19,50,Spring Appeal
DN00000317,D00029,2024-12-26,500,Annual Gala
DN00000318,D00029,2025-06-21,25,Year-End Giving
DN00000319,D00030,2023-01-21,1500,Summer Drive
DN00000320,D00030,2023-02-02,75,Annual Gala
DN00000321,D00030,2023-03-06,1500,Back to School
DN00000322,D00030,2023-04-20,500,Annual Gala
DN00000323,D00030,2023-05-18,2500,Spring Appeal
DN00000324,D00030,2023-06-19,250,Back to School
DN00000325,D00030,2023-07-06,1500,Summer Drive
DN00000326,D00030,2023-08-07,250,Spring Appeal
DN00000327,D00030,2023-09-11,2500,Year-End Giving
DN00000328,D00030,2023-10-08,25,Year-End Giving
DN00000329,D00030,2023-11-02,150,Summer Drive
DN00000330,D00030,2023-12-11,75,Back to School
DN00000331,D00030,2024-01-02,50,Annual Gala
DN00000332,D00030,2024-02-09,500,Summer Drive
DN00000333,D00030,2024-03-03,500,Summer Drive
DN00000334,D00030,2024-04-26,50,Year-End Giving
DN00000335,D00030,2024-05-07,500,Back to School
DN00000336,D00030,2024-06-15,250,Year-End Giving
DN00000337,D00030,2024-07-26,1500,Back to School
DN00000338,D00030,2024-08-26,50,Year-End Giving
DN00000339,D00030,2024-09-28,1500,Spring Appeal
DN00000340,D00030,2024-10-01,500,Summer Drive
DN00000341,D00030,2024-11-13,150,Annual Gala
DN00000342,D00030,2024-12-12,50,Summer Drive
DN00000343,D00030,2025-01-01,2500,Summer Drive
DN00000344,D00030,2025-02-20,150,Annual Gala
DN00000345,D00030,2025-03-11,1500,Back to School
DN00000346,D00030,2025-04-15,2500,Annual Gala
DN00000347,D00030,2025-05-10,2500,Back to School
DN00000348,D00030,2025-06-27,75,Year-End Giving
DN00000349,D00030,2025-07-06,2500,Spring Appeal
DN00000350,D00030,2025-08-10,25,Back to School
DN00000351,D00030,2025-09-12,25,Spring Appeal
DN00000352,D00031,2023-04-18,2500,Back to School
DN00000353,D00031,2024-04-21,75,Annual Gala
DN00000354,D00031,2025-04-23,250,Back to School
DN00000355,D00032,2023-01-13,1500,Summer Drive
DN00000356,D00032,2023-04-13,1500,Annual Gala
DN00000357,D00032,2023-07-14,500,Spring Appeal
DN00000358,D00032,2023-10-16,1500,Annual Gala
DN00000359,D00032,2024-01-26,75,Summer Drive
DN00000360,D00032,2024-04-18,25,Year-End Giving
DN00000361,D00032,2024-07-23,75,Year-End Giving
DN00000362,D00032,2024-10-20,1500,Back to School
DN00000363,D00032,2025-01-06,1000,Annual Gala
DN00000364,D00032,2025-04-20,25,Year-End Giving
DN00000365,D00032,2025-07-19,1000,Back to School
DN00000366,D00033,2023-01-28,150,Summer Drive
DN00000367,D00033,2024-01-14,75,Summer Drive
DN00000368,D00033,2025-01-01,1000,Summer Drive
DN00000369,D00034,2023-01-18,25,Summer Drive
DN00000370,D00034,2023-02-23,50,Year-End Giving
DN00000371,D00034,2023-03-23,2500,Year-End Giving
DN00000372,D00034,2023-04-28,100,Year-End Giving
DN00000373,D00034,2023-05-28,150,Spring Appeal
DN00000374,D00034,2023-06-23,50,Summer Drive
DN00000375,D00034,2023-07-13,1000,Summer Drive
DN00000376,D00034,2023-08-28,500,Spring Appeal
DN00000377,D00034,2023-09-25,100,Spring Appeal
DN00000378,D00034,2023-10-07,100,Back to School
DN00000379,D00034,2023-11-17,150,Spring Appeal
DN00000380,D00034,2023-12-28,150,Spring Appeal
DN00000381,D00034,2024-01-11,500,Spring Appeal
DN00000382,D00034,2024-02-08,1000,Back to School
DN00000383,D00034,2024-03-25,50,Annual Gala
DN00000384,D00034,2024-04-24,100,Summer Drive
DN00000385,D00034,2024-05-09,250,Annual Gala
DN00000386,D00034,2024-06-14,150,Back to School
DN00000387,D00034,2024-07-16,1500,Summer Drive
DN00000388,D00034,2024-08-19,150,Year-End Giving
DN00000389,D00034,2024-09-28,1000,Year-End Giving
DN00000390,D00034,2024-10-04,2500,Year-End Giving
DN00000391,D00034,2024-11-22,500,Annual Gala
DN00000392,D00034,2024-12-18,500,Back to School
DN00000393,D00034,2025-01-21,500,Annual Gala
DN00000394,D00034,2025-02-14,250,Year-End Giving
DN00000395,D00034,2025-03-15,75,Year-End Giving
DN00000396,D00034,2025-04-13,2500,Back to School
DN00000397,D00034,2025-05-08,75,Annual Gala
DN00000398,D00034,2025-06-15,250,Year-End Giving
DN00000399,D00034,2025-07-21,100,Summer Drive
DN00000400,D00034,2025-08-04,100,Spring Appeal
DN00000401,D00034,2025-09-09,250,Spring Appeal
DN00000402,D00035,2023-05-11,1500,Summer Drive
DN00000403,D00035,2023-11-21,250,Back to School
DN00000404,D00035,2024-05-19,2500,Summer Drive
DN00000405,D00035,2024-11-07,75,Annual Gala
DN00000406,D00035,2025-05-26,1000,Spring Appeal
DN00000407,D00036,2023-11-22,50,Summer Drive
DN00000408,D00036,2024-11-02,100,Annual Gala
DN00000409,D00037,2023-02-01,2500,Annual Gala
DN00000410,D00037,2023-08-20,500,Back to School
DN00000411,D00037,2024-02-19,25,Annual Gala
DN00000412,D00037,2024-08-20,1500,Summer Drive
DN00000413,D00037,2025-02-23,100,Back to School
DN00000414,D00037,2025-08-15,1500,Back to School
DN00000415,D00038,2023-02-25,75,Annual Gala
DN00000416,D00038,2023-08-17,500,Annual Gala
DN00000417,D00038,2024-02-23,1000,Spring Appeal
DN00000418,D00038,2024-08-12,1000,Annual Gala
DN00000419,D00038,2025-02-17,150,Spring Appeal
DN00000420,D00038,2025-08-26,2500,Spring Appeal
DN00000421,D00039,2023-01-14,1000,Annual Gala
DN00000422,D00039,2023-02-23,1000,Summer Drive
DN00000423,D00039,2023-03-26,75,Summer Drive
DN00000424,D00039,2023-04-03,250,Summer Drive
DN00000425,D00039,2023-05-26,500,Spring Appeal
DN00000426,D00039,2023-06-26,50,Summer Drive
DN00000427,D00039,2023-07-02,250,Spring Appeal
DN00000428,D00039,2023-08-14,150,Summer Drive
DN00000429,D00039,2023-09-07,75,Back to School
DN00000430,D00039,2023-10-22,25,Summer Drive
DN00000431,D00039,2023-11-07,100,Annual Gala
DN00000432,D00039,2023-12-05,75,Year-End Giving
DN00000433,D00039,2024-01-03,1500,Spring Appeal
DN00000434,D00039,2024-02-15,2500,Year-End Giving
DN00000435,D00039,2024-03-19,250,Annual Gala
DN00000436,D00039,2024-04-27,50,Summer Drive
DN00000437,D00039,2024-05-17,500,Year-End Giving
DN00000438,D00039,2024-06-05,75,Spring Appeal
DN00000439,D00039,2024-07-12,1000,Back to School
DN00000440,D00039,2024-08-18,1000,Year-End Giving
DN00000441,D00039,2024-09-14,75,Summer Drive
DN00000442,D00039,2024-10-15,150,Summer Drive
DN00000443,D00039,2024-11-13,1000,Spring Appeal
