SOP Type,SOP Number,Item Number,Item Description,QTY,Unit Cost,Unit Price,Customer Number,Customer Class,Document Status,Item Class Code,Posting Status,Salesperson ID,Void Status
Back Order,BKO1005,ACCS-HDS-1EAR,Headset-Single Ear,3,38.59,79.95,BREAKTHR0001,CAN-PQMT-T5,Unposted,RETAIL,Unposted,FRANCINE B.,Normal
Back Order,BKO1006,ANSW-PAN-1450,Panache KX-T1450 answer,3,50.25,109.95,ADAMPARK0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1000,100XLG,Green Phone,2,55.5,59.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1000,256 SDRAM,256 meg SDRAM,1,247.5,229.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1001,333PROC,333 Processor,2,238.5,239.95,ADAMPARK0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1001,ACCS-CRD-25BK,Phone Cord - 25' Black,2,5.98,19.95,ADAMPARK0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1002,ACCS-HDS-1EAR,Headset-Single Ear,2,38.59,79.95,ADVANCED0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1002,BELL100,Phone Bellisimo,2,2,9.95,ADVANCED0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1003,BK MOUSE,Black Mouse,2,9,19.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1003,CAP100,Capacitor,1,0.02,9.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1004,CB100,Circuit Board,1,1.5,9.95,ADVANCED0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1004,COMPBOOK,Computers Explained,2,6.75,7.5,ADVANCED0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1005,CORDG,Green Cord,3,0.67,9.95,ADAMPARK0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1005,COV100G,Green Cover,2,1,9.95,ADAMPARK0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1005,FTRUB,Rubber Feet,4,0.01,9.95,ADAMPARK0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1006,HDWR-LDS-0001,Network LDS/Card,1,2700,5409.95,AARONFIT0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1006,KB104,Keyboard,2,13.5,19.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1007,CBA100,Circuit Board Assembly,2,15.5,29.95,ADAMPARK0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1007,M1500,"15"" Monitor",5,108,139.95,ADAMPARK0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Fulfillment Order,FULORD1008,PHON-BAS-0001,Phone Base,2,11.95,29.95,AARONFIT0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Fulfillment Order,FULORD1008,PHON-FGD-0001,Phones-Hands Free Dual Ear,1,57.22,119.95,AARONFIT0001,USA-ILMO-T1,Unposted,FINGOODS,Unposted,PAUL W.,Normal
Invoice,INVS3014,5-CONTRACTS,2-A3284A,1,0,3333.3,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3014,5-CONTRACTS,4-A3351A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3014,5-CONTRACTS,4-E5930A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3014,5-CONTRACTS,4-A3666A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3014,5-CONTRACTS,4-E2094A,1,0,308.3,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3015,5-CONTRACTS,1-A3261A,1,0,0,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,1-A3483A,1,0,0,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,2-A3284A,1,0,8000,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,3-A2440A,1,0,0,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,3-A3542A,1,0,0,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,4-A3539A,1,0,0,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,4-A3666A,1,0,0,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3015,5-CONTRACTS,4-E2094A,1,0,740,PLAZAONE0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
