Invoice #,Item Number,Item Description,Qty,Total Cost,Total Price,Unit Cost,Unit Price,Customer Number,Address 1,City,Country,Customer Class,Document Date,Due Date,Item Class Code,Salesperson ID,State,Zip
FULORD1006,HDWR-LDS-0001,Network LDS/Card,1,2700,5409.95,2700,5409.95,AARONFIT0001,500 West 56th St.,New York,USA,USA-ILMO-T1,4/12/2027 0:00,5/12/2027 0:00,RETAIL,PAUL W.,NY,10019
FULORD1006,KB104,Keyboard,2,27,39.9,13.5,19.95,AARONFIT0001,500 West 56th St.,New York,USA,USA-ILMO-T1,4/12/2027 0:00,5/12/2027 0:00,,PAUL W.,NY,10019
INVS3014,5-CONTRACTS,4-A3666A,1,0,0,0,0,RIVERSID0001,5678 Herman St.,Vancouver,Canada,CAN-ABBCYKNWTT7,9/25/2028 0:00,10/25/2028 0:00,,ERIN J.,BC,V6E 3J7
INVS3014,5-CONTRACTS,4-E2094A,1,0,308.3,0,308.3,RIVERSID0001,5678 Herman St.,Vancouver,Canada,CAN-ABBCYKNWTT7,9/25/2028 0:00,10/25/2028 0:00,,ERIN J.,BC,V6E 3J7
INVS3014,5-CONTRACTS,2-A3284A,1,0,3333.3,0,3333.3,RIVERSID0001,5678 Herman St.,Vancouver,Canada,CAN-ABBCYKNWTT7,9/25/2028 0:00,10/25/2028 0:00,,ERIN J.,BC,V6E 3J7
INVS3014,5-CONTRACTS,4-A3351A,1,0,0,0,0,RIVERSID0001,5678 Herman St.,Vancouver,Canada,CAN-ABBCYKNWTT7,9/25/2028 0:00,10/25/2028 0:00,,ERIN J.,BC,V6E 3J7
INVS3014,5-CONTRACTS,4-E5930A,1,0,0,0,0,RIVERSID0001,5678 Herman St.,Vancouver,Canada,CAN-ABBCYKNWTT7,9/25/2028 0:00,10/25/2028 0:00,,ERIN J.,BC,V6E 3J7
INVS3015,5-CONTRACTS,1-A3261A,1,0,0,0,0,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3015,5-CONTRACTS,1-A3483A,1,0,0,0,0,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3015,5-CONTRACTS,2-A3284A,1,0,8000,0,8000,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
