PointType-Team,Touchdowns-Tot,Touchdowns-R,Touchdowns-P,Touchdowns-KR,Touchdowns-PR,Touchdowns-IR,Touchdowns-FR,Touchdowns-BK,Touchdowns-BP,Touchdowns-FGR,Kicking-PAT,Kicking-FG,Misc-Conv,Misc-Saf,Misc-Pts
Los Angeles RamsLA Rams,65,17,46,0,0,1,0,1,0,0,62/65,22/28,0,0,518
New England PatriotsNew England,58,22,31,1,2,1,1,0,0,0,53/55,27/32,3,1,490
Seattle SeahawksSeattle,51,19,25,1,2,1,2,0,0,0,48/48,41/48,3,0,483
Buffalo BillsBuffalo,62,30,29,1,0,1,1,0,0,0,48/53,19/21,2,0,481
Detroit LionsDetroit,57,21,35,0,1,0,0,0,0,0,54/56,27/34,1,1,481
Jacksonville JaguarsJacksonville,55,22,29,0,2,2,0,0,0,0,50/51,30/34,1,1,474
Dallas CowboysDallas,51,18,31,0,0,1,0,0,1,0,47/48,36/42,3,1,471
Indianapolis ColtsIndianapolis,53,27,25,0,0,1,0,0,0,0,42/45,34/36,2,0,466
Chicago BearsChicago,49,19,28,0,0,2,0,0,0,0,42/42,33/39,3,0,441
San Francisco 49ersSan Francisco,49,15,33,0,0,1,0,0,0,0,40/44,33/36,2,0,437
Baltimore RavensBaltimore,48,23,23,0,0,1,1,0,0,0,44/46,30/34,1,0,424
Cincinnati BengalsCincinnati,49,11,36,1,0,1,0,0,0,0,41/44,25/28,2,0,414
Houston TexansHouston,38,9,24,0,0,1,4,0,0,0,30/30,48/52,1,0,404
Denver BroncosDenver,45,18,25,0,1,1,0,0,0,0,39/39,28/32,4,0,401
Pittsburgh SteelersPittsburgh,45,16,26,0,0,1,2,0,0,0,42/43,27/32,1,1,397
Green Bay PackersGreen Bay,44,18,26,0,0,0,0,0,0,0,39/42,28/34,2,0,391
New York GiantsNY Giants,45,22,21,1,0,0,1,0,0,0,36/41,23/26,3,0,381
Tampa Bay BuccaneersTampa Bay,41,13,26,0,0,2,0,0,0,0,32/33,32/38,2,1,380
Philadelphia EaglesPhiladelphia,46,17,26,0,0,1,0,1,1,0,41/42,20/27,1,0,379
Los Angeles ChargersLA Chargers,36,10,26,0,0,0,0,0,0,0,34/35,38/41,1,1,368
Kansas City ChiefsKansas City,38,15,23,0,0,0,0,0,0,0,31/35,33/38,2,0,362
Washington CommandersWashington,41,20,19,0,2,0,0,0,0,0,33/34,23/30,3,1,356
Arizona CardinalsArizona,40,9,29,0,0,0,2,0,0,0,36/36,25/33,1,1,355
Atlanta FalconsAtlanta,37,17,19,0,0,1,0,0,0,0,31/33,32/39,2,0,353
Miami DolphinsMiami,38,14,23,0,1,0,0,0,0,0,34/35,27/29,1,0,347
Minnesota VikingsMinnesota,35,15,18,0,0,1,1,0,0,0,31/31,33/35,2,0,344
Carolina PanthersCarolina,35,9,24,0,0,2,0,0,0,0,27/30,24/29,1,0,311
New Orleans SaintsNew Orleans,31,9,19,0,0,1,2,0,0,0,28/28,30/42,1,0,306
New York JetsNY Jets,30,11,15,1,2,0,0,1,0,0,22/22,28/29,6,1,300
Tennessee TitansTennessee,28,9,15,0,2,1,1,0,0,0,27/28,29/36,0,1,284
Cleveland BrownsCleveland,30,10,16,0,0,3,1,0,0,0,25/26,24/27,1,0,279
Las Vegas RaidersLas Vegas,25,5,20,0,0,0,0,0,0,0,21/22,22/27,1,1,241
