program_id,youth_id,date,attended
P002,Y0476,2025-08-23,Y
P007,Y0152,2025-07-04,Y
P005,Y0469,2025-07-16,Y
P010,Y0399,2025-07-02,Y
P010,Y0311,2025-07-05,Y
P011,Y0667,2025-08-26,Y
P001,Y0930,2025-08-15,Y
P003,Y0480,2025-08-28,Y
P005,Y0010,2025-07-21,N
P006,Y0513,2025-09-03,Y
P004,Y0358,2025-08-19,Y
P009,Y0065,2025-07-23,Y
P011,Y0156,2025-08-15,Y
P011,Y0737,2025-08-13,Y
P008,Y0733,2025-07-18,Y
P005,Y0804,2025-08-08,Y
P007,Y0070,2025-08-31,Y
P007,Y0986,2025-08-30,Y
P010,Y0675,2025-07-24,Y
P010,Y0726,2025-09-03,Y
P011,Y0539,2025-08-03,Y
P003,Y0715,2025-08-11,Y
P010,Y0979,2025-08-14,Y
P010,Y0633,2025-08-21,Y
P002,Y0047,2025-07-04,Y
P012,Y0163,2025-07-30,Y
P002,Y0682,2025-07-14,Y
P008,Y0957,2025-08-30,Y
P006,Y0779,2025-07-30,N
P012,Y0815,2025-07-31,N
P002,Y0922,2025-07-23,N
P012,Y0914,2025-08-19,Y
P007,Y0945,2025-07-09,Y
P001,Y0627,2025-08-02,N
P002,Y0039,2025-07-10,Y
P008,Y0782,2025-08-17,Y
P010,Y0647,2025-07-04,Y
P003,Y0329,2025-07-14,Y
P012,Y0461,2025-08-18,N
P003,Y0653,2025-07-26,Y
P004,Y0259,2025-09-01,Y
P008,Y0696,2025-08-06,Y
P004,Y0207,2025-07-21,Y
P007,Y0834,2025-07-25,Y
P002,Y0597,2025-07-04,Y
P011,Y0983,2025-07-13,Y
P004,Y0035,2025-07-18,N
P001,Y0369,2025-08-22,Y
P010,Y0560,2025-07-10,Y
P006,Y0190,2025-09-02,Y
P004,Y0853,2025-07-27,Y
P010,Y0848,2025-08-30,Y
P009,Y0361,2025-08-15,Y
P010,Y0922,2025-07-18,Y
P002,Y0450,2025-08-24,Y
P011,Y0386,2025-07-10,N
P010,Y0081,2025-07-17,Y
P009,Y0306,2025-07-13,Y
P002,Y0511,2025-07-30,Y
P001,Y0616,2025-08-12,Y
P001,Y0230,2025-08-07,Y
P005,Y0400,2025-08-15,N
P002,Y0894,2025-07-21,N
P005,Y0077,2025-07-31,Y
P009,Y0955,2025-09-03,N
P005,Y0409,2025-07-08,Y
P009,Y0715,2025-07-15,Y
P010,Y0483,2025-08-03,Y
P011,Y0031,2025-07-05,N
P006,Y0432,2025-08-03,Y
P004,Y0343,2025-07-08,Y
P003,Y0210,2025-08-12,Y
P011,Y0935,2025-07-08,Y
P004,Y0506,2025-07-10,Y
P010,Y0927,2025-07-05,N
P006,Y0073,2025-08-23,Y
P010,Y0758,2025-07-11,Y
P009,Y0491,2025-07-17,N
P005,Y0741,2025-07-06,Y
P002,Y0037,2025-09-02,N
P009,Y0231,2025-08-14,Y
P007,Y0490,2025-08-08,Y
P004,Y0022,2025-07-08,Y
P001,Y0793,2025-07-26,N
P009,Y0623,2025-08-18,Y
