program_id,youth_id,date,attended
P001,Y0674,2023-01-01,Y
P001,Y0761,2023-01-01,Y
P001,Y0622,2023-01-01,Y
P001,Y0349,2023-01-01,Y
P001,Y0205,2023-01-01,Y
P001,Y1274,2023-01-01,Y
P001,Y0753,2023-01-01,Y
P001,Y0280,2023-01-01,Y
P001,Y1244,2023-01-01,Y
P001,Y0132,2023-01-02,Y
P001,Y0302,2023-01-02,N
P001,Y0759,2023-01-02,Y
P001,Y0301,2023-01-02,N
P001,Y1233,2023-01-02,Y
P001,Y1300,2023-01-02,Y
P001,Y0826,2023-01-02,Y
P001,Y0880,2023-01-03,N
P001,Y1268,2023-01-03,Y
P001,Y0539,2023-01-03,Y
P001,Y0382,2023-01-03,Y
P001,Y1292,2023-01-03,Y
P001,Y0835,2023-01-03,Y
P001,Y0223,2023-01-04,Y
P001,Y1038,2023-01-04,Y
P001,Y0062,2023-01-04,Y
P001,Y1128,2023-01-04,Y
P001,Y0559,2023-01-04,N
P001,Y1486,2023-01-05,Y
P001,Y0424,2023-01-05,Y
P001,Y0520,2023-01-05,Y
P001,Y0927,2023-01-05,Y
P001,Y0742,2023-01-05,N
P001,Y0882,2023-01-05,Y
P001,Y0324,2023-01-06,Y
P001,Y0011,2023-01-06,Y
P001,Y0019,2023-01-06,Y
P001,Y0562,2023-01-06,Y
P001,Y0704,2023-01-06,Y
P001,Y1047,2023-01-07,Y
P001,Y1277,2023-01-07,Y
P001,Y0153,2023-01-07,Y
P001,Y1256,2023-01-07,Y
P001,Y0989,2023-01-07,N
P001,Y0432,2023-01-07,Y
P001,Y1263,2023-01-07,N
P001,Y0220,2023-01-07,Y
P001,Y0718,2023-01-07,Y
P001,Y0404,2023-01-08,Y
P001,Y0514,2023-01-08,Y
P001,Y0516,2023-01-08,Y
P001,Y1186,2023-01-08,Y
P001,Y0822,2023-01-08,Y
P001,Y0832,2023-01-08,Y
P001,Y0428,2023-01-08,Y
P001,Y1233,2023-01-08,Y
P001,Y0198,2023-01-08,N
P001,Y0643,2023-01-08,N
P001,Y0048,2023-01-08,Y
P001,Y0307,2023-01-09,Y
P001,Y0852,2023-01-09,Y
P001,Y1463,2023-01-09,Y
P001,Y0929,2023-01-09,Y
P001,Y0262,2023-01-09,Y
P001,Y1497,2023-01-09,N
P001,Y1435,2023-01-09,Y
P001,Y1199,2023-01-09,Y
P001,Y1471,2023-01-09,Y
P001,Y0552,2023-01-09,Y
P001,Y0593,2023-01-10,Y
P001,Y0327,2023-01-10,Y
P001,Y1349,2023-01-10,Y
P001,Y0957,2023-01-10,Y
P001,Y0443,2023-01-11,Y
P001,Y1064,2023-01-11,Y
P001,Y0071,2023-01-11,Y
P001,Y0173,2023-01-11,Y
P001,Y0260,2023-01-11,Y
P001,Y1315,2023-01-11,Y
P001,Y0355,2023-01-11,N
P001,Y1436,2023-01-11,Y
P001,Y1215,2023-01-11,Y
P001,Y1290,2023-01-11,Y
P001,Y0301,2023-01-11,N
P001,Y0686,2023-01-11,Y
P001,Y0241,2023-01-11,Y
P001,Y0837,2023-01-12,Y
P001,Y1059,2023-01-12,Y
P001,Y0576,2023-01-12,Y
P001,Y0882,2023-01-12,Y
P001,Y0324,2023-01-12,Y
P001,Y0053,2023-01-12,Y
P001,Y1286,2023-01-12,Y
P001,Y0108,2023-01-12,Y
P001,Y0225,2023-01-13,Y
P001,Y0963,2023-01-13,Y
P001,Y0970,2023-01-13,Y
P001,Y1390,2023-01-13,Y
P001,Y0623,2023-01-13,N
P001,Y1385,2023-01-13,Y
P001,Y0212,2023-01-13,Y
P001,Y0006,2023-01-14,Y
P001,Y1198,2023-01-14,Y
P001,Y1315,2023-01-14,Y
P001,Y0130,2023-01-14,N
P001,Y0515,2023-01-14,Y
P001,Y0694,2023-01-14,Y
P001,Y0769,2023-01-14,Y
P001,Y0191,2023-01-14,Y
P001,Y0812,2023-01-14,N
P001,Y0840,2023-01-14,Y
P001,Y0052,2023-01-14,Y
P001,Y0399,2023-01-14,Y
P001,Y1220,2023-01-14,Y
P001,Y0073,2023-01-14,N
P001,Y0771,2023-01-14,Y
P001,Y0197,2023-01-14,Y
P001,Y0640,2023-01-14,Y
P001,Y0447,2023-01-15,Y
P001,Y0750,2023-01-15,Y
P001,Y1345,2023-01-15,Y
P001,Y1437,2023-01-15,Y
P001,Y0002,2023-01-15,Y
