CustomerNumber,CustomerName,Address,City,State,Zip,CreditLimitAmount,CustomerBalance,CustomerClass,Hold
"AARONFIT0001","Aaron Fitz Electrical","One Microsoft Way","Redmond","WA","98052-6399",40000,24272.06,"USA-ILMO-T1","No"
"ADAMPARK0001","Adam Park Resort","Suite 9876","Indianapolis","IN","46206-1391",40000,20800.09,"USA-INMI-T2","No"
"ADVANCED0001","Advanced Paper Co.","456 19th Street S.","Chicago","IL","60603-911",20000,327.08,"USA-ILMO-T1","No"
"ADVANCED0002","Advanced Tech Satellite System","8765 66 Ave.","Toronto","ON","M8D 7R5",30000,4702.2,"CAN-ONMBSK-T6","No"
"ALTONMAN0001","Alton Manufacturing","P.O. Box 3343","Detroit","MI","48233-3343",75000,68955,"USA-INMI-T2","No"
"AMERICAN0001","American Science Museum","789 North Carlton Place","St. Louis","MO","63115",50000,25838.97,"USA-ILMO-T1","No"
"AMERICAN0002","American Electrical Contractor","3456 North Calumet Avenue","Iowa City","IA","52240-1827",20000,7800.13,"USA-IAKSNE-T3","No"
"ASSOCIAT0001","Associated Insurance Company","321 Garden Mall","Lincoln","NE","68502-3090",20000,1093.04,"USA-IAKSNE-T3","No"
"ASTORSUI0001","Astor Suites","987 West Alaska Ave","Gary","IN","46401-3455",40000,1405.87,"USA-INMI-T2","No"
"ATMORERE0001","Atmore Retirement Center","567 W 7th St.","Bloomington","IL","61701-9392",20000,13104.14,"USA-ILMO-T1","No"
"BAKERSEM0001","Baker's Emporium Inc.","789 University Ave","Fort Wayne","IN","46802-3918",20000,9479.69,"USA-INMI-T2","No"
"FOURTHCO0001","Fourth Coffee","345 Industrial Drive","Beatrice","NE","68350-1010",40000,0,"USA-IAKSNE-T3","No"
"BERRYMED0001","Berry Medical Center","Suite 123","Fond Du Lac","WI","54935-9990",75000,50797.1,"USA-MNWI-T4","No"
"BOYLESCO0001","Boyle's Country Inn's","1234 Burke","Melbourne","VIC","3000",40000,17327.65,"AUSTRALIA-T8","No"
