ItemNumber,ItemDescription,CurrentCost,ItemClassCode
"100XLG","Green Phone",28.46,""
"128 SDRAM","128 meg SDRAM",152.1,""
"24X IDE","24x CD-ROM",45,""
"256 SDRAM","256 meg SDRAM",247.5,""
"32 SDRAM","32 meg SDRAM",40.5,""
"32X IDE","32x CD-ROM",49.5,""
"333PROC","333 Processor",238.5,""
"4.5HD","4.5 gig Hard Drive",184.5,""
"400PROC","400 Processor",393.3,""
"40X IDE","40x CD-ROM",39.6,""
"450PROC","450 Processor",566.1,""
"500PROC","500 Processor",702,""
"6.5HD","6.5 gig Hard Drive",224.1,""
"64 SDRAM","64 meg SDRAM",80.1,""
"8.4HD","8.4 gig Hard Drive",292.5,""
"A100","Audio System",36,""
"ACCS-CRD-12WH","Phone Cord - 12' White",3.29,"RETAIL"
"ACCS-CRD-25BK","Phone Cord - 25' Black",5.98,"RETAIL"
"ACCS-HDS-1EAR","Headset-Single Ear",38.59,"RETAIL"
"ACCS-HDS-2EAR","Headset - Dual Ear",41.98,"RETAIL"
"ACCS-RST-DXBK","Shoulder Rest-Deluxe Black",4.55,"RETAIL"
"ACCS-RST-DXWH","Shoulder Rest - Deluxe White",4.55,"RETAIL"
"ANSW-ATT-1000","Attractive Answering System 1000",59.29,"RETAIL"
"ANSW-PAN-1450","Panache KX-T1450 answer",50.25,"RETAIL"
"ANSW-PAN-2460","Panache KX-T2460 answer",73.25,"RETAIL"
"ASMB-LBR-0001","Labor, Parts Assembly",35,""
"BA100G","Base Assembly",14.14,""
"BELL100","Phone Bellisimo",2,""
"BK MOUSE","Black Mouse",9,""
"BOT100G","Handset Bottom",1.2,""
"CAP100","Capacitor",0.02,""
"CB100","Circuit Board",1.5,""
"CBA100","Circuit Board Assembly",14.14,""
"COMPBOOK","Computers Explained",6.75,""
"CORDG","Green Cord",0.67,""
"COV100G","Green Cover",1,""
"FAXX-CAN-9800","Cantata FaxPhone 9800",1197,"RETAIL"
"FAXX-FG3-0001","Desktop Fax System",5106.91,"FINGOODS"
"FAXX-RIC-060E","Richelieu Fax 60E",479.05,"RETAIL"
"FAXX-SLK-0172","Sleek UX-172 fax",674.5,"RETAIL"
"FAXX-SLK-2100","Sleek UX-2100 fax",899,"RETAIL"
"FRHT-TWO-0001","Freight Charges",0,""
"FTRUB","Rubber Feet",0.01,""
"HA100G","Green Hand Assembly",11.65,""
"HDWR-ACC-0100","Acclaimed Call Center System 100",35000,"RETAIL"
"HDWR-CAB-0001","Central Cabinet",6921.88,"RETAIL"
"HDWR-CIM-0001","Control interface/Memory",3290.55,"RETAIL"
"HDWR-DCD-0001","Assembled Data Card",0,"RETAIL"
"HDWR-FGC-0001","Data Card Assembly",75.99,"FINGOODS"
"HDWR-LDS-0001","Network LDS/Card",2700,"RETAIL"
"HDWR-PNL-0001","Control Panel",303.85,"RETAIL"
"HDWR-PRO-4862","Pro processor 4S",2998.15,"RETAIL"
"HDWR-PRO-4866","Pro processor 4D",3379.25,"RETAIL"
"HDWR-RNG-0001","Ring Generator",669,"RETAIL"
"HDWR-SBD-0001","Switchboard",14778.12,"RETAIL"
"HDWR-SRG-0001","Surge Protector Panel",18.65,"RETAIL"
"HDWR-SWM-0100","Switching Module (<100)",7780.25,"RETAIL"
"HDWR-SWM-0250","Switching Module (100-250)",12500,"RETAIL"
"HDWR-T1I-0001","T1 Interface Kit",1495,"RETAIL"
"HDWR-TPS-0001","Tape Unit/Mass Storage",1224.64,"RETAIL"
"INST-TWO-0001","Installation",0,""
"ITCT-CIR-CD85","Integrated Circuit, PCD85-1",28.25,""
"KB104","Keyboard",13.5,""
"KPA100","Keypad Assembly",3.88,""
"M1500","15"" Monitor",108,""
"M1700","17"" Monitor",198,""
"M2100","21"" Monitor",810,""
"MIC100","Microphone",4,""
"MISC-TWO-0001","Mileage",0,""
"PHAN-FAX-0001","Fax Machine Package",1479.05,"FINGOODS"
"PHAN-PHN-0001","Standard Phone Package",27.66,"RETAIL"
"PHON-ATT-0712","Attractive 712 wall phone",35.89,"RETAIL"
"PHON-ATT-5354","Cordless-Attractive 5354",115.85,"ATT CORD"
