SOPType,SOPNumber,ItemNumber,QTY,ExtendedCost,ExtendedPrice,UnitCost,UnitPrice,CustomerNumber,DocumentDate,QTYInBaseUOfM,SalespersonID
"Invoice","INVS3014","5-CONTRACTS",1,0,3333.3,0,3333.3,"RIVERSID0001",2028-09-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3014","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-09-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3014","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-09-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3014","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-09-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3014","5-CONTRACTS",1,0,308.3,0,308.3,"RIVERSID0001",2028-09-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3015","5-CONTRACTS",1,0,0,0,0,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,0,0,0,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,8000,0,8000,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,0,0,0,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,0,0,0,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,0,0,0,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,0,0,0,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3015","5-CONTRACTS",1,0,740,0,740,"PLAZAONE0001",2028-09-05 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3016","5-CONTRACTS",1,0,2700,0,2700,"COMPUTER0001",2028-09-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3016","5-CONTRACTS",1,0,74.97,0,74.97,"COMPUTER0001",2028-09-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3016","5-CONTRACTS",1,0,74.97,0,74.97,"COMPUTER0001",2028-09-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3016","5-CONTRACTS",1,0,37.53,0,37.53,"COMPUTER0001",2028-09-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3017","5-CONTRACTS",1,0,375.03,0,375.03,"CENTRALI0001",2028-09-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3017","5-CONTRACTS",1,0,375.03,0,375.03,"CENTRALI0001",2028-09-30 00:00:00.000,1,"PAUL W."
