TransactionID,SalesDate,CustomerID,ProductID,ManagerID,Quantity,UnitPrice,TotalAmount,OrderStatus,ShippingDate
TXN000001,2022-01-05,CUST011,PROD012,MGR005,45,1600,"72,000.00",Completed,2022-01-21
TXN000002,2022-01-11,CUST012,PROD009,MGR004,113,450,"50,850.00",Completed,2022-02-01
TXN000003,2022-01-13,CUST013,PROD003,MGR004,175,4200,"735,000.00",Completed,2022-01-20
TXN000004,2022-01-15,CUST002,PROD002,MGR004,50,12800,"640,000.00",Completed,2022-02-14
TXN000005,2022-01-21,CUST002,PROD009,MGR003,425,450,"191,250.00",Pending,
TXN000006,2022-01-21,CUST015,PROD006,MGR005,99,2800,"277,200.00",Pending,
TXN000007,2022-02-03,CUST011,PROD002,MGR005,326,12800,"4,172,800.00",Completed,2022-02-23
TXN000008,2022-02-03,CUST012,PROD004,MGR002,237,3100,"734,700.00",Completed,2022-02-14
TXN000009,2022-02-04,CUST011,PROD012,MGR005,113,1600,"180,800.00",Pending,
TXN000010,2022-02-04,CUST014,PROD001,MGR002,421,8500,"3,578,500.00",Completed,2022-03-04
TXN000011,2022-02-04,CUST006,PROD007,MGR003,34,5400,"183,600.00",Completed,2022-02-25
TXN000012,2022-02-05,CUST006,PROD004,MGR004,203,3100,"629,300.00",Pending,
TXN000013,2022-02-08,CUST009,PROD005,MGR005,220,6500,"1,430,000.00",Completed,2022-02-23
TXN000014,2022-02-10,CUST003,PROD009,MGR004,47,450,"21,150.00",Shipped,2022-02-14
TXN000015,2022-02-10,CUST014,PROD002,MGR002,322,12800,"4,121,600.00",Completed,2022-03-10
TXN000016,2022-02-10,CUST011,PROD007,MGR005,33,5400,"178,200.00",Completed,2022-02-25
TXN000017,2022-02-15,CUST011,PROD012,MGR001,350,1600,"560,000.00",Completed,2022-03-14
TXN000018,2022-02-15,CUST005,PROD011,MGR003,58,320,"18,560.00",Completed,2022-03-03
TXN000019,2022-02-18,CUST012,PROD005,MGR005,391,6500,"2,541,500.00",Completed,2022-03-09
TXN000020,2022-02-19,CUST014,PROD011,MGR003,431,320,"137,920.00",Pending,
TXN000021,2022-02-19,CUST010,PROD004,MGR002,192,3100,"595,200.00",Shipped,2022-02-27
TXN000022,2022-02-21,CUST009,PROD001,MGR005,166,8500,"1,411,000.00",Completed,2022-02-24
TXN000023,2022-02-24,CUST013,PROD005,MGR002,30,6500,"195,000.00",Completed,2022-03-17
TXN000024,2022-02-24,CUST002,PROD002,MGR004,418,12800,"5,350,400.00",Completed,2022-03-23
TXN000025,2022-02-24,CUST009,PROD003,MGR002,338,4200,"1,419,600.00",Completed,2022-03-16
TXN000026,2022-02-28,CUST015,PROD009,MGR002,366,450,"164,700.00",Completed,2022-03-15
TXN000027,2022-02-28,CUST011,PROD011,MGR003,225,320,"72,000.00",Completed,2022-03-17
TXN000028,2022-03-10,CUST014,PROD006,MGR001,264,2800,"739,200.00",Completed,2022-03-21
TXN000029,2022-03-10,CUST011,PROD008,MGR002,277,1850,"512,450.00",Completed,2022-04-05
TXN000030,2022-03-11,CUST010,PROD010,MGR004,125,9200,"1,150,000.00",Shipped,2022-03-29
TXN000031,2022-03-11,CUST013,PROD007,MGR002,49,5400,"264,600.00",Completed,2022-04-04
TXN000032,2022-03-15,CUST011,PROD011,MGR001,32,320,"10,240.00",Completed,2022-04-10
TXN000033,2022-03-17,CUST004,PROD004,MGR002,275,3100,"852,500.00",Completed,2022-03-24
TXN000034,2022-03-21,CUST008,PROD009,MGR001,26,450,"11,700.00",Pending,
TXN000035,2022-03-21,CUST014,PROD001,MGR001,475,8500,"4,037,500.00",Shipped,2022-04-20
TXN000036,2022-03-25,CUST015,PROD001,MGR002,195,8500,"1,657,500.00",Completed,2022-04-09
TXN000037,2022-03-27,CUST008,PROD005,MGR004,357,6500,"2,320,500.00",Pending,
TXN000038,2022-03-29,CUST003,PROD004,MGR003,112,3100,"347,200.00",Completed,2022-04-19
TXN000039,2022-03-30,CUST001,PROD012,MGR003,30,1600,"48,000.00",Completed,2022-04-20
TXN000040,2022-04-01,CUST009,PROD003,MGR001,492,4200,"2,066,400.00",Completed,2022-04-06
TXN000041,2022-04-01,CUST014,PROD003,MGR001,305,4200,"1,281,000.00",Completed,2022-04-25
TXN000042,2022-04-02,CUST007,PROD002,MGR005,127,12800,"1,625,600.00",Completed,2022-04-24
TXN000043,2022-04-15,CUST015,PROD002,MGR001,235,12800,"3,008,000.00",Completed,2022-05-06
TXN000044,2022-04-15,CUST002,PROD002,MGR005,110,12800,"1,408,000.00",Completed,2022-04-26
TXN000045,2022-04-24,CUST013,PROD011,MGR005,5,320,"1,600.00",Pending,
TXN000046,2022-04-24,CUST009,PROD005,MGR001,481,6500,"3,126,500.00",Completed,2022-05-05
TXN000047,2022-04-24,CUST002,PROD002,MGR005,80,12800,"1,024,000.00",Completed,2022-05-06
TXN000048,2022-04-26,CUST004,PROD011,MGR003,259,320,"82,880.00",Completed,2022-05-07
TXN000049,2022-04-27,CUST014,PROD001,MGR001,325,8500,"2,762,500.00",Completed,2022-05-26
TXN000050,2022-04-27,CUST005,PROD001,MGR001,171,8500,"1,453,500.00",Shipped,2022-05-04
TXN000051,2022-04-30,CUST009,PROD012,MGR004,288,1600,"460,800.00",Completed,2022-05-06
TXN000052,2022-05-02,CUST015,PROD003,MGR005,19,4200,"79,800.00",Shipped,2022-05-16
TXN000053,2022-05-07,CUST013,PROD001,MGR003,108,8500,"918,000.00",Pending,
TXN000054,2022-05-11,CUST010,PROD012,MGR002,474,1600,"758,400.00",Completed,2022-06-10
TXN000055,2022-05-13,CUST003,PROD007,MGR001,92,5400,"496,800.00",Pending,
TXN000056,2022-05-14,CUST007,PROD011,MGR002,137,320,"43,840.00",Completed,2022-06-11
TXN000057,2022-05-15,CUST007,PROD001,MGR004,114,8500,"969,000.00",Completed,2022-06-13
TXN000058,2022-05-16,CUST006,PROD005,MGR002,115,6500,"747,500.00",Completed,2022-06-09
TXN000059,2022-05-16,CUST004,PROD007,MGR003,143,5400,"772,200.00",Shipped,2022-05-21
TXN000060,2022-05-17,CUST005,PROD006,MGR005,205,2800,"574,000.00",Pending,
TXN000061,2022-05-17,CUST009,PROD006,MGR001,60,2800,"168,000.00",Completed,2022-05-25
TXN000062,2022-05-19,CUST001,PROD002,MGR005,223,12800,"2,854,400.00",Completed,2022-06-14
TXN000063,2022-05-19,CUST013,PROD006,MGR004,311,2800,"870,800.00",Completed,2022-05-25
TXN000064,2022-05-19,CUST007,PROD010,MGR002,131,9200,"1,205,200.00",Completed,2022-06-13
TXN000065,2022-05-22,CUST011,PROD012,MGR002,187,1600,"299,200.00",Completed,2022-05-27
TXN000066,2022-05-23,CUST015,PROD006,MGR005,161,2800,"450,800.00",Pending,
TXN000067,2022-05-23,CUST002,PROD012,MGR003,260,1600,"416,000.00",Completed,2022-06-16
TXN000068,2022-05-29,CUST011,PROD012,MGR002,316,1600,"505,600.00",Completed,2022-06-10
TXN000069,2022-05-29,CUST007,PROD009,MGR001,156,450,"70,200.00",Completed,2022-06-07
TXN000070,2022-06-06,CUST013,PROD012,MGR002,338,1600,"540,800.00",Completed,2022-06-18
TXN000071,2022-06-06,CUST009,PROD011,MGR005,172,320,"55,040.00",Completed,2022-07-05
TXN000072,2022-06-07,CUST004,PROD011,MGR003,116,320,"37,120.00",Shipped,2022-06-16
TXN000073,2022-06-07,CUST003,PROD001,MGR001,126,8500,"1,071,000.00",Completed,2022-06-29
TXN000074,2022-06-08,CUST002,PROD008,MGR004,454,1850,"839,900.00",Pending,
TXN000075,2022-06-15,CUST013,PROD002,MGR004,113,12800,"1,446,400.00",Completed,2022-07-13
TXN000076,2022-06-16,CUST009,PROD008,MGR001,286,1850,"529,100.00",Completed,2022-07-16
TXN000077,2022-06-16,CUST002,PROD008,MGR002,411,1850,"760,350.00",Completed,2022-07-10
TXN000078,2022-06-20,CUST008,PROD010,MGR005,219,9200,"2,014,800.00",Shipped,2022-07-10
