Semester,Year,Students Enrolled,Returning from Previous Year's Same Semester,Graduated Last Spring,New Students
Fall,2006,4000,3100,685,900
Spring,2007,3980,3800,685,180
Fall,2007,4077,3155,700,922
Spring,2008,4044,3858,700,186
Fall,2008,4154,3210,715,944
Spring,2009,4108,3916,715,192
Fall,2009,4231,3265,730,966
Spring,2010,4172,3974,730,198
Fall,2010,4308,3320,745,988
Spring,2011,4236,4032,745,204
Fall,2011,4385,3375,760,1010
Spring,2012,4300,4090,760,210
Fall,2012,4462,3430,775,1032
Spring,2013,4364,4148,775,216
Fall,2013,4539,3485,790,1054
Spring,2014,4428,4206,790,222
Fall,2014,4616,3540,805,1076
Spring,2015,4492,4264,805,228
Fall,2015,4693,3595,820,1098
Spring,2016,4556,4322,820,234
Fall,2016,4770,3650,835,1120
Spring,2017,4620,4380,835,240
Fall,2017,4847,3705,850,1142
Spring,2018,4684,4438,850,246
Fall,2018,4924,3760,865,1164
Spring,2019,4748,4496,865,252
Fall,2019,5001,3815,880,1186
Spring,2020,4812,4554,880,258
Fall,2020,5078,3870,895,1208
Spring,2021,4876,4612,895,264
Fall,2021,5155,3925,910,1230
Spring,2022,4940,4670,910,270
Fall,2022,5232,3980,925,1252
Spring,2023,5004,4728,925,276
Fall,2023,5309,4035,940,1274
Spring,2024,5068,4786,940,282
Fall,2024,5386,4090,955,1296
Spring,2025,5132,4844,955,288
Fall,2025,5463,4145,970,1318
Spring,2026,5196,4902,970,294
