DateKey,Date,Year,QuarterName,QuarterNumber,MonthNumber,MonthName,DayOfMonth,DayName,WeekOfYear,IsWeekend,CalendarYearQuarter
20221010,2022-10-10,2022,Fall,4,10,October,10,Monday,41,No,2022 Fall
20221011,2022-10-11,2022,Fall,4,10,October,11,Tuesday,41,No,2022 Fall
20221012,2022-10-12,2022,Fall,4,10,October,12,Wednesday,41,No,2022 Fall
20221013,2022-10-13,2022,Fall,4,10,October,13,Thursday,41,No,2022 Fall
20221014,2022-10-14,2022,Fall,4,10,October,14,Friday,41,No,2022 Fall
20221015,2022-10-15,2022,Fall,4,10,October,15,Saturday,41,Yes,2022 Fall
20221016,2022-10-16,2022,Fall,4,10,October,16,Sunday,41,Yes,2022 Fall
20221017,2022-10-17,2022,Fall,4,10,October,17,Monday,42,No,2022 Fall
20221018,2022-10-18,2022,Fall,4,10,October,18,Tuesday,42,No,2022 Fall
20221019,2022-10-19,2022,Fall,4,10,October,19,Wednesday,42,No,2022 Fall
20221020,2022-10-20,2022,Fall,4,10,October,20,Thursday,42,No,2022 Fall
20221021,2022-10-21,2022,Fall,4,10,October,21,Friday,42,No,2022 Fall
20221022,2022-10-22,2022,Fall,4,10,October,22,Saturday,42,Yes,2022 Fall
20221023,2022-10-23,2022,Fall,4,10,October,23,Sunday,42,Yes,2022 Fall
20221024,2022-10-24,2022,Fall,4,10,October,24,Monday,43,No,2022 Fall
20221025,2022-10-25,2022,Fall,4,10,October,25,Tuesday,43,No,2022 Fall
20221026,2022-10-26,2022,Fall,4,10,October,26,Wednesday,43,No,2022 Fall
20221027,2022-10-27,2022,Fall,4,10,October,27,Thursday,43,No,2022 Fall
20221028,2022-10-28,2022,Fall,4,10,October,28,Friday,43,No,2022 Fall
20221029,2022-10-29,2022,Fall,4,10,October,29,Saturday,43,Yes,2022 Fall
20221030,2022-10-30,2022,Fall,4,10,October,30,Sunday,43,Yes,2022 Fall
20221031,2022-10-31,2022,Fall,4,10,October,31,Monday,44,No,2022 Fall
20221101,2022-11-01,2022,Fall,4,11,November,1,Tuesday,44,No,2022 Fall
20221102,2022-11-02,2022,Fall,4,11,November,2,Wednesday,44,No,2022 Fall
20221103,2022-11-03,2022,Fall,4,11,November,3,Thursday,44,No,2022 Fall
20221104,2022-11-04,2022,Fall,4,11,November,4,Friday,44,No,2022 Fall
20221105,2022-11-05,2022,Fall,4,11,November,5,Saturday,44,Yes,2022 Fall
