OfferingKey,OfferingID,AcademicYear,Quarter,QuarterNumber,ClassStartDate,ClassEndDate,CourseID_Source,ProfessorID_Source,SectionNumber,ClassDays,MeetingTime,Campus,Capacity,TuitionRatePerCredit
1,O00001,2023,Winter,1,2023-01-08,2023-03-26,MED406,P010,01,Mon,09:30 AM,Main Campus,22,450.0
2,O00002,2023,Winter,1,2023-01-08,2023-03-26,MED401,P011,01,Wed,03:00 PM,Health Sciences Center,28,575.0
3,O00003,2023,Winter,1,2023-01-08,2023-03-26,MED403,P009,01,Sat,08:00 AM,Health Sciences Center,18,425.0
4,O00004,2023,Winter,1,2023-01-08,2023-03-26,MED403,P018,02,Thu,11:00 AM,Health Sciences Center,22,425.0
5,O00005,2023,Winter,1,2023-01-08,2023-03-26,MED411,P014,01,Wed,01:00 PM,Downtown Clinical Site,20,450.0
6,O00006,2023,Winter,1,2023-01-08,2023-03-26,MED409,P004,01,MW,03:00 PM,Main Campus,20,500.0
7,O00007,2023,Winter,1,2023-01-08,2023-03-26,MED103,P015,01,Mon,01:00 PM,Main Campus,30,450.0
8,O00008,2023,Winter,1,2023-01-08,2023-03-26,MED305,P001,01,MW,11:00 AM,Downtown Clinical Site,18,475.0
9,O00009,2023,Winter,1,2023-01-08,2023-03-26,MED305,P004,02,TTh,11:00 AM,Health Sciences Center,22,475.0
10,O00010,2023,Winter,1,2023-01-08,2023-03-26,MED203,P022,01,Tue,01:00 PM,Main Campus,28,550.0
11,O00011,2023,Winter,1,2023-01-08,2023-03-26,MED203,P018,02,MW,03:00 PM,Downtown Clinical Site,35,550.0
12,O00012,2023,Winter,1,2023-01-08,2023-03-26,MED301,P009,01,MW,08:00 AM,Health Sciences Center,20,450.0
13,O00013,2023,Winter,1,2023-01-08,2023-03-26,MED202,P015,01,Mon,01:00 PM,Main Campus,30,450.0
14,O00014,2023,Winter,1,2023-01-08,2023-03-26,MED202,P015,02,Sat,08:00 AM,Health Sciences Center,22,450.0
15,O00015,2023,Winter,1,2023-01-08,2023-03-26,MED408,P014,01,Fri,06:00 PM,Health Sciences Center,30,500.0
16,O00016,2023,Winter,1,2023-01-08,2023-03-26,MED414,P022,01,MW,11:00 AM,Main Campus,20,550.0
17,O00017,2023,Winter,1,2023-01-08,2023-03-26,MED206,P016,01,Fri,06:00 PM,Downtown Clinical Site,35,525.0
18,O00018,2023,Winter,1,2023-01-08,2023-03-26,MED206,P016,02,MW,09:30 AM,Downtown Clinical Site,30,525.0
19,O00019,2023,Winter,1,2023-01-08,2023-03-26,MED402,P023,01,Tue,01:00 PM,Downtown Clinical Site,30,550.0
20,O00020,2023,Winter,1,2023-01-08,2023-03-26,MED304,P011,01,Tue,03:00 PM,Main Campus,28,425.0
21,O00021,2023,Winter,1,2023-01-08,2023-03-26,MED306,P020,01,Sat,03:00 PM,Main Campus,22,500.0
22,O00022,2023,Winter,1,2023-01-08,2023-03-26,MED101,P015,01,Online,Online,Downtown Clinical Site,20,525.0
23,O00023,2023,Winter,1,2023-01-08,2023-03-26,MED407,P012,01,TTh,03:00 PM,Online,18,450.0
24,O00024,2023,Winter,1,2023-01-08,2023-03-26,MED410,P001,01,Sat,11:00 AM,Health Sciences Center,30,475.0
25,O00025,2023,Winter,1,2023-01-08,2023-03-26,MED410,P007,02,Sat,03:00 PM,Downtown Clinical Site,30,475.0
26,O00026,2023,Winter,1,2023-01-08,2023-03-26,MED405,P002,01,MW,09:30 AM,Downtown Clinical Site,30,575.0
27,O00027,2023,Winter,1,2023-01-08,2023-03-26,MED302,P022,01,Tue,01:00 PM,Health Sciences Center,22,575.0
28,O00028,2023,Winter,1,2023-01-08,2023-03-26,MED104,P004,01,Thu,01:00 PM,Downtown Clinical Site,22,425.0
29,O00029,2023,Winter,1,2023-01-08,2023-03-26,MED104,P012,02,Wed,09:30 AM,Main Campus,22,425.0
30,O00030,2023,Winter,1,2023-01-08,2023-03-26,MED102,P016,01,TTh,03:00 PM,Downtown Clinical Site,28,450.0
31,O00031,2023,Winter,1,2023-01-08,2023-03-26,MED102,P016,02,Online,Online,Main Campus,35,450.0
32,O00032,2023,Winter,1,2023-01-08,2023-03-26,MED303,P004,01,Fri,01:00 PM,Health Sciences Center,30,450.0
