EnrollmentKey,EnrollmentID,StudentKey,CourseKey,ProfessorKey,OfferingKey,EnrollmentDateKey,ClassStartDateKey,ClassEndDateKey,Credits,TuitionAmountPaid,PaymentStatus,Grade
1,E0000001,396,24,10,1,20221209,20230108,20230326,4,2915.0,Paid In Full,B+
2,E0000002,449,24,10,1,20221211,20230108,20230326,4,1917.5,Payment Plan,A
3,E0000003,67,24,10,1,20221206,20230108,20230326,4,1340.0,Paid In Full,W
4,E0000004,377,24,10,1,20221018,20230108,20230326,4,1795.0,Paid In Full,A
5,E0000005,121,24,10,1,20221202,20230108,20230326,4,2580.0,Scholarship Covered,IP
6,E0000006,236,24,10,1,20221208,20230108,20230326,4,1975.0,Payment Plan,B
7,E0000007,447,24,10,1,20221016,20230108,20230326,4,1255.0,Paid In Full,B+
8,E0000008,197,24,10,1,20221116,20230108,20230326,4,1500.0,Paid In Full,IP
9,E0000009,403,24,10,1,20221110,20230108,20230326,4,1715.0,Paid In Full,B+
10,E0000010,63,24,10,1,20221024,20230108,20230326,4,995.0,Paid In Full,W
11,E0000011,265,24,10,1,20221013,20230108,20230326,4,1435.0,Payment Plan,A-
12,E0000012,380,24,10,1,20221012,20230108,20230326,4,1925.0,Paid In Full,A
13,E0000013,451,24,10,1,20221213,20230108,20230326,4,2039.0,Paid In Full,W
14,E0000014,494,24,10,1,20221104,20230108,20230326,4,2187.5,Payment Plan,W
15,E0000015,114,24,10,1,20221224,20230108,20230326,4,2119.0,Paid In Full,W
16,E0000016,331,24,10,1,20221029,20230108,20230326,4,2240.5,Paid In Full,C
17,E0000017,80,24,10,1,20221017,20230108,20230326,4,1410.0,Paid In Full,A-
18,E0000018,351,24,10,1,20221029,20230108,20230326,4,1975.0,Paid In Full,B
19,E0000019,228,24,10,1,20221021,20230108,20230326,4,1715.0,Paid In Full,C
20,E0000020,13,24,10,1,20221229,20230108,20230326,4,2215.5,Paid In Full,W
21,E0000021,129,24,10,1,20221111,20230108,20230326,4,995.0,Paid In Full,B
22,E0000022,31,24,10,1,20221216,20230108,20230326,4,2337.0,Paid In Full,B+
23,E0000023,339,19,11,2,20221214,20230108,20230326,5,4006.25,Payment Plan,B
24,E0000024,166,19,11,2,20221209,20230108,20230326,5,3050.0,Payment Plan,A-
25,E0000025,382,19,11,2,20221116,20230108,20230326,5,1562.5,Paid In Full,W
26,E0000026,223,19,11,2,20221229,20230108,20230326,5,2107.5,Paid In Full,A-
27,E0000027,430,19,11,2,20221014,20230108,20230326,5,3035.94,Paid In Full,C
28,E0000028,114,19,11,2,20221201,20230108,20230326,5,3200.0,Paid In Full,C+
29,E0000029,228,19,11,2,20221110,20230108,20230326,5,2682.5,Paid In Full,C
30,E0000030,305,19,11,2,20221014,20230108,20230326,5,3025.0,Payment Plan,A
31,E0000031,438,19,11,2,20221103,20230108,20230326,5,3000.0,Paid In Full,A
32,E0000032,308,19,11,2,20221024,20230108,20230326,5,2425.0,Payment Plan,B-
33,E0000033,265,19,11,2,20221014,20230108,20230326,5,2137.5,Paid In Full,W
34,E0000034,97,19,11,2,20221225,20230108,20230326,5,1562.5,Paid In Full,C+
35,E0000035,205,19,11,2,20221209,20230108,20230326,5,3000.0,Payment Plan,A-
36,E0000036,453,19,11,2,20221114,20230108,20230326,5,2162.5,Payment Plan,C
37,E0000037,447,19,11,2,20221024,20230108,20230326,5,1900.0,Paid In Full,A
38,E0000038,451,19,11,2,20221020,20230108,20230326,5,3200.0,Scholarship Covered,B-
39,E0000039,150,19,11,2,20221124,20230108,20230326,5,3060.94,Paid In Full,B
40,E0000040,186,19,11,2,20221108,20230108,20230326,5,2841.88,Paid In Full,A
41,E0000041,318,19,11,2,20221026,20230108,20230326,5,3025.0,Paid In Full,A-
42,E0000042,200,19,11,2,20221116,20230108,20230326,5,2035.63,Paid In Full,A-
43,E0000043,391,19,11,2,20221017,20230108,20230326,5,1875.0,Payment Plan,B-
44,E0000044,487,19,11,2,20221018,20230108,20230326,5,2503.75,Scholarship Covered,IP
45,E0000045,418,19,11,2,20221101,20230108,20230326,5,1562.5,Payment Plan,IP
46,E0000046,349,21,9,3,20221116,20230108,20230326,4,1705.0,Payment Plan,A-
47,E0000047,438,21,9,3,20221114,20230108,20230326,4,1825.0,Paid In Full,B
48,E0000048,116,21,9,3,20221205,20230108,20230326,4,2445.0,Paid In Full,IP
49,E0000049,380,21,9,3,20221129,20230108,20230326,4,1825.0,Paid In Full,B-
50,E0000050,389,21,9,3,20221128,20230108,20230326,4,1825.0,Paid In Full,C+
51,E0000051,121,21,9,3,20221214,20230108,20230326,4,2420.0,Payment Plan,A-
52,E0000052,443,21,9,3,20221021,20230108,20230326,4,1535.0,Paid In Full,A
53,E0000053,194,21,9,3,20221119,20230108,20230326,4,1896.25,Paid In Full,IP
54,E0000054,228,21,9,3,20221025,20230108,20230326,4,1680.0,Paid In Full,B-
55,E0000055,201,21,9,3,20221017,20230108,20230326,4,1620.0,Paid In Full,B+
56,E0000056,276,21,9,3,20221105,20230108,20230326,4,2203.0,Paid In Full,IP
57,E0000057,288,21,9,3,20221109,20230108,20230326,4,1931.0,Paid In Full,B+
58,E0000058,9,21,9,3,20221024,20230108,20230326,4,1195.0,Scholarship Covered,IP
59,E0000059,451,21,9,3,20221228,20230108,20230326,4,1986.0,Payment Plan,B
60,E0000060,153,21,9,3,20221118,20230108,20230326,4,2810.0,Paid In Full,C+
61,E0000061,129,21,9,3,20221126,20230108,20230326,4,1000.0,Paid In Full,B
62,E0000062,168,21,9,3,20221012,20230108,20230326,4,1850.0,Paid In Full,C+
63,E0000063,55,21,9,3,20221105,20230108,20230326,4,1680.0,Paid In Full,B
64,E0000064,103,21,18,4,20221010,20230108,20230326,4,1620.0,Paid In Full,W
65,E0000065,318,21,18,4,20221121,20230108,20230326,4,1850.0,Payment Plan,B-
66,E0000066,72,21,18,4,20221209,20230108,20230326,4,945.0,Paid In Full,A
67,E0000067,494,21,18,4,20221030,20230108,20230326,4,2101.25,Payment Plan,A-
68,E0000068,382,21,18,4,20221126,20230108,20230326,4,1025.0,Payment Plan,C+
69,E0000069,121,21,18,4,20221127,20230108,20230326,4,2445.0,Paid In Full,C+
70,E0000070,449,21,18,4,20221115,20230108,20230326,4,1816.25,Paid In Full,B
71,E0000071,59,21,18,4,20221123,20230108,20230326,4,1655.0,Scholarship Covered,C+
72,E0000072,403,21,18,4,20221028,20230108,20230326,4,1680.0,Payment Plan,IP
73,E0000073,162,21,18,4,20221123,20230108,20230326,4,1540.0,Paid In Full,IP
74,E0000074,443,21,18,4,20221116,20230108,20230326,4,1485.0,Payment Plan,C
75,E0000075,124,21,18,4,20221220,20230108,20230326,4,2011.0,Payment Plan,A-
76,E0000076,308,21,18,4,20221119,20230108,20230326,4,1485.0,Paid In Full,C+
77,E0000077,241,21,18,4,20221013,20230108,20230326,4,1297.5,Payment Plan,C
78,E0000078,212,21,18,4,20221113,20230108,20230326,4,2215.5,Payment Plan,W
79,E0000079,110,21,18,4,20221206,20230108,20230326,4,1875.0,Paid In Full,A
80,E0000080,78,21,18,4,20221127,20230108,20230326,4,1145.0,Payment Plan,A-
81,E0000081,418,21,18,4,20221216,20230108,20230326,4,975.0,Paid In Full,A-
82,E0000082,79,21,18,4,20221030,20230108,20230326,4,1795.0,Scholarship Covered,W
83,E0000083,264,21,18,4,20221109,20230108,20230326,4,1816.25,Paid In Full,W
84,E0000084,9,21,18,4,20221011,20230108,20230326,4,1115.0,Paid In Full,B+
85,E0000085,97,21,18,4,20221110,20230108,20230326,4,945.0,Payment Plan,B-
86,E0000086,277,29,14,5,20221021,20230108,20230326,3,800.0,Scholarship Covered,B+
87,E0000087,453,29,14,5,20221018,20230108,20230326,3,1120.0,Paid In Full,C
88,E0000088,87,29,14,5,20221029,20230108,20230326,3,960.0,Scholarship Covered,W
89,E0000089,23,29,14,5,20221103,20230108,20230326,3,935.0,Payment Plan,B-
90,E0000090,28,29,14,5,20221210,20230108,20230326,3,1061.25,Paid In Full,B-
91,E0000091,377,29,14,5,20221212,20230108,20230326,3,1310.0,Paid In Full,C+
92,E0000092,201,29,14,5,20221228,20230108,20230326,3,1297.5,Paid In Full,IP
93,E0000093,477,29,14,5,20221104,20230108,20230326,3,985.0,Paid In Full,B-
94,E0000094,196,29,14,5,20221020,20230108,20230326,3,1070.0,Payment Plan,C+
95,E0000095,264,29,14,5,20221019,20230108,20230326,3,1491.88,Paid In Full,C
96,E0000096,258,29,14,5,20221110,20230108,20230326,3,1525.0,Paid In Full,C
97,E0000097,482,29,14,5,20221105,20230108,20230326,3,800.0,Paid In Full,B
98,E0000098,293,29,14,5,20221022,20230108,20230326,3,1500.0,Paid In Full,B-
99,E0000099,162,29,14,5,20221221,20230108,20230326,3,1322.5,Paid In Full,B+
100,E0000100,305,29,14,5,20221101,20230108,20230326,3,1475.0,Paid In Full,IP
101,E0000101,242,29,14,5,20221028,20230108,20230326,3,2242.5,Payment Plan,B
102,E0000102,168,27,4,6,20221031,20230108,20230326,3,1675.0,Scholarship Covered,A
103,E0000103,162,27,4,6,20221211,20230108,20230326,3,1425.0,Paid In Full,A
104,E0000104,72,27,4,6,20221220,20230108,20230326,3,900.0,Payment Plan,W
105,E0000105,396,27,4,6,20221127,20230108,20230326,3,2500.0,Paid In Full,C
106,E0000106,242,27,4,6,20221128,20230108,20230326,3,2420.0,Paid In Full,C
107,E0000107,405,27,4,6,20221225,20230108,20230326,3,1225.0,Paid In Full,B
108,E0000108,9,27,4,6,20221217,20230108,20230326,3,1075.0,Payment Plan,W
109,E0000109,121,27,4,6,20221120,20230108,20230326,3,2150.0,Paid In Full,C+
110,E0000110,55,27,4,6,20221224,20230108,20230326,3,1475.0,Paid In Full,W
