GradeFactKey,EnrollmentKey,StudentKey,CourseKey,ProfessorKey,OfferingKey,GradeDateKey,AcademicYear,Quarter,QuarterNumber,AttemptedCredits,EarnedCredits,LetterGrade,GradePoints,GradeStatus,PassFlag
1,1,396,24,10,1,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
2,2,449,24,10,1,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
3,3,67,24,10,1,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
4,4,377,24,10,1,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
5,5,121,24,10,1,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
6,6,236,24,10,1,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
7,7,447,24,10,1,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
8,8,197,24,10,1,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
9,9,403,24,10,1,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
10,10,63,24,10,1,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
11,11,265,24,10,1,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
12,12,380,24,10,1,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
13,13,451,24,10,1,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
14,14,494,24,10,1,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
15,15,114,24,10,1,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
16,16,331,24,10,1,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
17,17,80,24,10,1,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
18,18,351,24,10,1,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
19,19,228,24,10,1,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
20,20,13,24,10,1,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
21,21,129,24,10,1,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
22,22,31,24,10,1,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
23,23,339,19,11,2,20230326,2023,Winter,1,5,5,B,3.0,Completed,Yes
24,24,166,19,11,2,20230326,2023,Winter,1,5,5,A-,3.7,Completed,Yes
