youth_id,assessment_date,literacy_score,digital_learning_completion
Y0001,2023-01-15,76,64
Y0002,2023-01-15,62,60
Y0003,2023-01-15,64,60
Y0004,2023-01-15,74,58
Y0005,2023-01-15,61,45
Y0006,2023-01-15,63,63
Y0007,2023-01-15,61,61
Y0008,2023-01-15,70,50
Y0009,2023-01-15,75,73
Y0010,2023-01-15,60,49
Y0011,2023-01-15,60,46
Y0012,2023-01-15,64,61
Y0013,2023-01-15,55,55
Y0014,2023-01-15,67,47
Y0015,2023-01-15,77,64
Y0016,2023-01-15,68,65
Y0017,2023-01-15,80,70
Y0018,2023-01-15,76,68
Y0019,2023-01-15,64,60
Y0020,2023-01-15,60,54
Y0021,2023-01-15,67,60
Y0022,2023-01-15,68,56
Y0023,2023-01-15,70,69
Y0024,2023-01-15,67,66
Y0025,2023-01-15,64,48
Y0026,2023-01-15,73,55
Y0027,2023-01-15,57,46
Y0028,2023-01-15,67,48
Y0029,2023-01-15,60,52
Y0030,2023-01-15,60,53
Y0031,2023-01-15,77,70
Y0032,2023-01-15,60,59
Y0033,2023-01-15,69,67
Y0034,2023-01-15,79,63
Y0035,2023-01-15,57,47
Y0036,2023-01-15,76,68
Y0037,2023-01-15,52,32
Y0038,2023-01-15,59,53
Y0039,2023-01-15,84,71
Y0040,2023-01-15,84,72
Y0041,2023-01-15,61,52
Y0042,2023-01-15,59,57
Y0043,2023-01-15,68,68
Y0044,2023-01-15,61,57
Y0045,2023-01-15,72,58
Y0046,2023-01-15,82,73
Y0047,2023-01-15,59,58
Y0048,2023-01-15,76,74
Y0049,2023-01-15,77,65
Y0050,2023-01-15,80,77
Y0051,2023-01-15,82,79
Y0052,2023-01-15,77,65
Y0053,2023-01-15,71,63
Y0054,2023-01-15,69,58
Y0055,2023-01-15,80,63
Y0056,2023-01-15,75,71
Y0057,2023-01-15,66,63
Y0058,2023-01-15,83,82
Y0059,2023-01-15,77,75
Y0060,2023-01-15,78,61
Y0061,2023-01-15,71,59
Y0062,2023-01-15,79,62
Y0063,2023-01-15,69,52
Y0064,2023-01-15,63,48
Y0065,2023-01-15,73,62
Y0066,2023-01-15,58,41
Y0067,2023-01-15,81,68
Y0068,2023-01-15,79,66
Y0069,2023-01-15,62,57
Y0070,2023-01-15,63,49
Y0071,2023-01-15,62,58
Y0072,2023-01-15,61,42
Y0073,2023-01-15,65,59
Y0074,2023-01-15,67,59
Y0075,2023-01-15,57,47
Y0076,2023-01-15,72,61
Y0077,2023-01-15,75,63
Y0078,2023-01-15,70,59
Y0079,2023-01-15,66,50
Y0080,2023-01-15,75,58
Y0081,2023-01-15,65,62
Y0082,2023-01-15,78,63
Y0083,2023-01-15,59,40
Y0084,2023-01-15,67,52
Y0085,2023-01-15,72,53
Y0086,2023-01-15,62,48
Y0087,2023-01-15,80,68
Y0088,2023-01-15,70,60
Y0089,2023-01-15,66,55
Y0090,2023-01-15,58,52
Y0091,2023-01-15,77,63
Y0092,2023-01-15,79,72
Y0093,2023-01-15,75,61
Y0094,2023-01-15,65,55
Y0095,2023-01-15,68,65
Y0096,2023-01-15,82,81
Y0097,2023-01-15,56,45
Y0098,2023-01-15,68,57
Y0099,2023-01-15,78,63
Y0100,2023-01-15,69,62
Y0101,2023-01-15,72,67
Y0102,2023-01-15,63,59
Y0103,2023-01-15,79,68
Y0104,2023-01-15,64,49
Y0105,2023-01-15,66,51
Y0106,2023-01-15,77,60
Y0107,2023-01-15,82,81
Y0108,2023-01-15,70,66
Y0109,2023-01-15,64,47
Y0110,2023-01-15,67,51
Y0111,2023-01-15,59,55
Y0112,2023-01-15,76,69
Y0113,2023-01-15,69,59
Y0114,2023-01-15,62,52
Y0115,2023-01-15,75,70
Y0116,2023-01-15,83,82
Y0117,2023-01-15,67,54
Y0118,2023-01-15,59,57
Y0119,2023-01-15,69,52
Y0120,2023-01-15,54,35
Y0121,2023-01-15,70,69
Y0122,2023-01-15,61,43
Y0123,2023-01-15,83,65
Y0124,2023-01-15,69,53
Y0125,2023-01-15,68,52
Y0126,2023-01-15,56,42
Y0127,2023-01-15,75,70
Y0128,2023-01-15,75,67
Y0129,2023-01-15,77,59
Y0130,2023-01-15,74,69
Y0131,2023-01-15,84,69
Y0132,2023-01-15,61,55
Y0133,2023-01-15,65,45
Y0134,2023-01-15,71,64
Y0135,2023-01-15,66,57
Y0136,2023-01-15,65,47
Y0137,2023-01-15,76,76
Y0138,2023-01-15,68,68
Y0139,2023-01-15,75,72
Y0140,2023-01-15,65,61
Y0141,2023-01-15,64,60
Y0142,2023-01-15,85,77
Y0143,2023-01-15,66,65
Y0144,2023-01-15,75,55
Y0145,2023-01-15,60,42
Y0146,2023-01-15,72,69
Y0147,2023-01-15,70,58
Y0148,2023-01-15,76,64
Y0149,2023-01-15,65,64
Y0150,2023-01-15,66,63
Y0151,2023-01-15,60,47
Y0152,2023-01-15,78,70
Y0153,2023-01-15,71,70
Y0154,2023-01-15,77,68
Y0155,2023-01-15,54,39
Y0156,2023-01-15,57,50
Y0157,2023-01-15,52,50
Y0158,2023-01-15,81,81
Y0159,2023-01-15,83,71
Y0160,2023-01-15,64,50
Y0161,2023-01-15,82,73
Y0162,2023-01-15,54,51
Y0163,2023-01-15,77,72
Y0164,2023-01-15,61,44
Y0165,2023-01-15,55,50
Y0166,2023-01-15,82,73
