date_key,customer_key,product_key,territory_key,volume_raw,dn_rev,net_revenue,total_cogs,base_cogs,ip_cogs,ps_cogs,cma_on_invoice,cma_non_invoice,lmp_funding,authorized_revenue
967,8864,117,1,0.45,13.93,13.93,8.91,8.91,0.00,8.91,0.00,0.00,0.00,12.26
855,3664,7,4,0.84,18.20,20.67,8.83,7.16,1.66,7.16,0.00,2.47,0.00,55.96
771,8421,50,1,2.15,30.27,31.49,23.13,17.33,5.80,17.33,0.00,1.22,0.00,47.33
890,5755,49,2,0.49,10.46,10.46,6.19,4.40,1.79,4.40,0.00,0.00,0.00,12.85
764,5571,124,5,0.08,1.29,1.30,1.11,1.11,0.00,1.11,0.00,0.00,0.00,1.46
827,8775,19,1,2.29,79.75,79.75,58.09,58.09,0.00,58.09,0.00,0.00,0.00,74.87
890,5455,84,5,2.37,46.56,48.66,38.13,38.13,0.00,38.13,0.00,2.11,0.00,48.66
967,3,6,4,0.26,3.96,4.48,2.23,1.73,0.49,1.73,0.00,0.51,0.00,4.92
743,428,76,4,1.48,28.58,28.85,23.37,23.37,0.00,23.37,2.42,0.27,0.00,30.16
1086,6520,117,5,0.29,8.92,8.92,5.75,5.75,0.00,5.75,0.00,0.00,0.00,7.61
1065,8054,14,1,0.14,3.41,3.84,2.09,1.48,0.61,1.48,0.00,0.43,0.00,5.10
785,1515,49,1,15.15,263.84,313.07,177.71,124.69,53.01,124.69,0.00,49.23,0.00,333.23
736,8732,46,1,5.01,179.49,184.94,99.34,64.87,34.47,64.87,7.60,5.45,0.00,194.92
799,2789,58,4,10.51,120.38,121.72,71.38,71.38,0.00,71.38,0.00,1.34,0.00,136.98
778,4651,126,3,0.99,23.04,24.63,14.44,14.44,0.00,14.44,0.00,1.59,0.00,50.24
1079,6041,131,5,0.17,3.29,3.34,2.66,2.66,0.00,2.66,0.00,0.05,0.00,3.40
806,3927,79,5,2.94,48.81,52.51,54.49,32.95,21.54,32.95,0.00,3.70,0.00,58.03
1065,5720,27,2,1.60,27.90,28.02,30.01,21.38,8.62,21.38,0.00,0.12,0.00,71.28
1072,2706,29,5,1.05,26.70,27.74,29.67,18.36,11.30,18.36,0.21,1.04,0.00,24.78
890,2491,20,2,3.27,96.97,96.97,68.21,68.21,0.00,68.21,2.70,0.00,0.00,85.62
729,5916,38,5,0.35,5.12,5.45,3.67,2.65,1.02,2.65,0.00,0.33,0.00,6.13
785,6829,46,5,0.72,14.88,20.89,8.87,6.28,2.58,6.28,0.00,6.01,0.00,36.68
848,996,17,4,8.64,377.70,377.86,295.00,295.00,0.00,295.00,24.99,0.16,0.00,362.01
834,8107,58,1,1.21,14.59,15.24,7.80,7.80,0.00,7.80,0.89,0.65,0.00,15.18
834,8693,46,1,26.54,1006.06,1019.52,552.00,353.77,198.23,353.77,0.00,13.45,0.00,1229.47
967,6134,11,5,0.63,10.82,11.45,10.23,6.75,3.48,6.75,0.00,0.63,0.00,12.24
848,5292,39,3,5.54,64.03,64.03,70.71,54.46,16.25,54.46,0.00,0.00,0.00,56.21
