SIRRecordID,Month,ServiceLine,ObservedInfections,ExpectedInfections,SIR,PerformanceFlag
1,2024-01-01,General Surgery,4,3.5,1.14,Worse than expected
2,2024-01-01,Orthopedics,3,2.23,1.35,Worse than expected
3,2024-01-01,OB/GYN,4,5.88,0.68,Better than expected
4,2024-01-01,Cardiology,3,4.1,0.73,Better than expected
5,2024-01-01,Oncology,3,3.17,0.95,Better than expected
6,2024-02-01,General Surgery,2,4.06,0.49,Better than expected
7,2024-02-01,Orthopedics,0,2.68,0.0,Better than expected
8,2024-02-01,OB/GYN,6,5.8,1.03,Worse than expected
9,2024-02-01,Cardiology,2,3.98,0.5,Better than expected
10,2024-02-01,Oncology,8,4.65,1.72,Worse than expected
11,2024-03-01,General Surgery,2,5.69,0.35,Better than expected
12,2024-03-01,Orthopedics,3,3.3,0.91,Better than expected
13,2024-03-01,OB/GYN,3,3.12,0.96,Better than expected
14,2024-03-01,Cardiology,2,5.95,0.34,Better than expected
15,2024-03-01,Oncology,5,5.26,0.95,Better than expected
16,2024-04-01,General Surgery,3,5.45,0.55,Better than expected
17,2024-04-01,Orthopedics,4,3.3,1.21,Worse than expected
18,2024-04-01,OB/GYN,6,4.85,1.24,Worse than expected
19,2024-04-01,Cardiology,0,2.43,0.0,Better than expected
20,2024-04-01,Oncology,6,4.55,1.32,Worse than expected
21,2024-05-01,General Surgery,1,2.31,0.43,Better than expected
22,2024-05-01,Orthopedics,10,5.72,1.75,Worse than expected
23,2024-05-01,OB/GYN,3,2.91,1.03,Worse than expected
24,2024-05-01,Cardiology,2,4.04,0.5,Better than expected
25,2024-05-01,Oncology,7,3.35,2.09,Worse than expected
26,2024-06-01,General Surgery,2,3.99,0.5,Better than expected
27,2024-06-01,Orthopedics,2,4.44,0.45,Better than expected
28,2024-06-01,OB/GYN,5,5.63,0.89,Better than expected
29,2024-06-01,Cardiology,6,5.05,1.19,Worse than expected
30,2024-06-01,Oncology,2,5.34,0.37,Better than expected
31,2024-07-01,General Surgery,1,4.36,0.23,Better than expected
32,2024-07-01,Orthopedics,4,4.05,0.99,Better than expected
33,2024-07-01,OB/GYN,5,5.75,0.87,Better than expected
34,2024-07-01,Cardiology,4,4.64,0.86,Better than expected
35,2024-07-01,Oncology,9,5.59,1.61,Worse than expected
36,2024-08-01,General Surgery,2,2.65,0.75,Better than expected
37,2024-08-01,Orthopedics,1,2.41,0.41,Better than expected
38,2024-08-01,OB/GYN,3,2.64,1.14,Worse than expected
39,2024-08-01,Cardiology,7,4.85,1.44,Worse than expected
40,2024-08-01,Oncology,3,3.47,0.86,Better than expected
41,2024-09-01,General Surgery,7,5.57,1.26,Worse than expected
42,2024-09-01,Orthopedics,1,2.1,0.48,Better than expected
43,2024-09-01,OB/GYN,5,5.76,0.87,Better than expected
44,2024-09-01,Cardiology,7,5.87,1.19,Worse than expected
45,2024-09-01,Oncology,6,5.74,1.05,Worse than expected
46,2024-10-01,General Surgery,12,5.51,2.18,Worse than expected
47,2024-10-01,Orthopedics,5,4.81,1.04,Worse than expected
48,2024-10-01,OB/GYN,2,2.14,0.93,Better than expected
49,2024-10-01,Cardiology,1,4.36,0.23,Better than expected
50,2024-10-01,Oncology,4,5.29,0.76,Better than expected
51,2024-11-01,General Surgery,1,4.49,0.22,Better than expected
52,2024-11-01,Orthopedics,7,4.13,1.69,Worse than expected
53,2024-11-01,OB/GYN,1,3.76,0.27,Better than expected
54,2024-11-01,Cardiology,5,5.85,0.85,Better than expected
55,2024-11-01,Oncology,7,4.2,1.67,Worse than expected
56,2024-12-01,General Surgery,2,2.99,0.67,Better than expected
57,2024-12-01,Orthopedics,0,2.46,0.0,Better than expected
58,2024-12-01,OB/GYN,3,2.16,1.39,Worse than expected
59,2024-12-01,Cardiology,3,3.97,0.76,Better than expected
60,2024-12-01,Oncology,2,4.46,0.45,Better than expected
61,2025-01-01,General Surgery,4,4.5,0.89,Better than expected
62,2025-01-01,Orthopedics,3,4.57,0.66,Better than expected
63,2025-01-01,OB/GYN,7,3.55,1.97,Worse than expected
64,2025-01-01,Cardiology,0,2.28,0.0,Better than expected
65,2025-01-01,Oncology,0,2.07,0.0,Better than expected
66,2025-02-01,General Surgery,3,4.73,0.63,Better than expected
67,2025-02-01,Orthopedics,7,5.26,1.33,Worse than expected
