date_key,customer_key,product_key,territory_key,volume_raw,dn_rev,net_revenue,total_cogs,base_cogs,ip_cogs,ps_cogs,cma_on_invoice,cma_non_invoice,lmp_funding,authorized_revenue
771,8421,50,1,1.24,16.74,18.18,13.36,16.64,3.28,10.09,0.00,1.44,0.00,27.33
967,3180,33,5,1.07,29.64,31.96,32.74,45.73,12.99,19.75,0.00,2.32,0.00,47.63
827,8775,19,1,2.45,84.49,84.49,61.98,61.98,0.00,61.98,0.00,0.00,0.00,79.85
890,5455,84,5,2.89,56.74,59.31,46.48,46.48,0.00,46.48,0.00,2.57,0.00,59.31
967,3,6,4,1.02,15.21,17.30,8.53,10.39,1.86,6.67,0.00,2.09,0.00,19.02
743,428,76,4,1.16,26.17,26.41,17.35,17.35,0.00,17.35,2.21,0.24,0.00,27.62
1086,6520,117,5,0.31,9.56,9.56,6.13,6.13,0.00,6.13,0.00,0.00,0.00,8.13
1065,8054,14,1,0.24,5.94,6.54,3.69,4.75,1.06,2.63,0.00,0.61,0.00,8.68
785,1515,49,1,14.67,274.65,303.16,178.65,233.29,54.64,124.01,0.00,28.51,0.00,322.68
736,8732,46,1,5.20,185.08,190.70,102.44,137.91,35.47,66.97,7.84,5.62,0.00,201.00
799,2789,58,4,7.25,92.74,93.77,48.46,48.46,0.00,48.46,0.00,1.03,0.00,105.53
778,4651,126,3,2.51,58.71,62.75,37.68,37.68,0.00,37.68,0.00,4.04,0.00,128.01
1079,6041,131,5,0.17,3.35,3.40,2.74,2.74,0.00,2.74,0.00,0.05,0.00,3.46
806,3927,79,5,3.03,50.42,54.18,54.85,76.54,21.69,33.16,0.00,3.76,0.00,59.87
890,4474,145,3,0.05,1.83,1.83,1.41,1.41,0.00,1.41,0.00,0.00,0.00,0.00
1065,5720,27,2,1.81,31.59,31.74,33.98,43.75,9.76,24.22,0.00,0.14,0.00,80.73
1072,2706,29,5,1.36,35.07,36.23,38.83,53.68,14.85,23.97,0.19,1.15,0.00,32.15
890,2491,20,2,2.37,70.23,70.23,49.48,49.48,0.00,49.48,1.75,0.00,0.00,62.46
729,5916,38,5,2.93,43.22,46.03,32.79,41.72,8.92,23.87,0.00,2.81,0.00,51.79
848,996,17,4,3.47,151.81,151.87,118.30,118.30,0.00,118.30,10.05,0.07,0.00,145.50
834,8107,58,1,1.20,14.94,15.77,7.68,7.68,0.00,7.68,1.06,0.83,0.00,15.97
834,8693,46,1,31.17,1180.65,1197.30,652.32,886.22,233.90,418.42,0.00,16.64,0.00,1443.86
967,6134,11,5,0.48,8.20,9.40,7.86,10.53,2.67,5.19,0.00,1.20,0.00,9.35
848,5292,39,3,7.18,104.33,104.33,90.66,111.50,20.84,69.82,0.00,0.01,0.00,91.58
827,1597,135,1,0.01,0.23,0.23,0.14,0.14,0.00,0.14,0.00,0.00,0.00,0.00
939,8474,59,1,0.67,14.14,15.12,17.59,23.69,6.09,11.50,0.00,0.98,0.00,18.92
1065,8602,25,1,0.24,7.84,7.84,5.25,5.25,0.00,5.25,0.00,0.00,0.00,7.36
1030,900,4,2,0.94,12.74,13.52,8.83,10.36,1.52,7.31,0.00,0.78,0.00,25.94
729,6355,21,5,0.45,19.18,19.25,15.13,15.13,0.00,15.13,0.00,0.06,0.00,17.98
876,8024,11,2,0.98,21.17,21.17,21.70,29.50,7.80,13.90,0.00,0.00,0.00,35.56
750,6360,114,5,2.84,73.59,76.62,57.85,57.85,0.00,57.85,0.00,3.04,0.00,79.46
918,1887,11,5,7.03,132.07,137.52,128.04,172.10,44.06,83.99,2.53,5.45,0.00,135.01
1030,1348,84,2,0.28,5.63,5.63,4.57,4.57,0.00,4.57,0.00,0.00,0.00,5.75
764,2427,49,4,0.23,4.52,4.52,3.04,3.94,0.90,2.13,0.00,0.00,0.00,3.99
974,6642,46,5,2.84,89.23,96.31,49.12,65.89,16.77,32.36,0.21,7.08,0.00,139.23
764,5503,1,5,7.44,280.60,282.32,231.59,231.59,0.00,231.59,0.00,1.72,0.00,343.88
764,4487,20,3,1.00,30.55,30.56,20.94,20.94,0.00,20.94,0.80,0.01,0.00,27.17
792,7900,17,4,0.47,19.63,20.28,16.04,16.04,0.00,16.04,0.00,0.65,0.00,20.23
848,3418,11,5,1.47,25.77,25.91,25.41,34.12,8.70,16.71,0.00,0.15,0.00,28.70
1086,6748,20,5,5.23,155.12,155.12,109.67,109.67,0.00,109.67,3.68,0.00,0.00,138.01
848,284,130,2,0.06,1.40,1.47,0.82,0.82,0.00,0.82,0.00,0.07,0.00,0.00
771,1363,28,5,2.52,0.00,0.00,59.49,78.37,18.87,40.62,0.00,0.00,0.00,0.00
834,8619,15,1,0.32,12.87,12.87,10.86,10.86,0.00,10.86,0.00,0.00,0.00,13.14
918,6392,84,5,1.08,20.74,20.94,17.30,17.30,0.00,17.30,0.23,0.19,0.00,22.04
862,1535,11,1,0.64,11.18,11.49,12.29,16.58,4.29,8.00,0.51,0.31,0.00,11.91
883,5912,126,5,0.10,1.97,2.18,1.46,1.46,0.00,1.46,0.00,0.21,0.00,2.18
778,5203,88,3,0.84,17.44,17.83,16.28,21.62,5.34,10.95,0.61,0.40,0.00,18.02
827,3365,46,4,27.99,612.97,624.77,412.18,553.78,141.60,270.58,0.00,11.79,0.00,894.53
1058,3485,88,1,0.80,19.29,21.01,16.86,22.31,5.45,11.41,2.08,1.72,0.00,21.92
967,5379,6,5,0.24,3.14,3.84,1.88,2.23,0.35,1.53,0.00,0.71,0.00,4.47
862,862,27,5,0.25,3.62,4.27,3.98,5.02,1.04,2.93,0.00,0.66,0.00,11.12
939,7132,126,4,0.20,4.92,4.92,2.91,2.91,0.00,2.91,0.00,0.00,0.00,10.45
918,6560,32,5,0.54,10.16,13.05,11.52,16.05,4.53,6.98,0.00,2.89,0.00,13.63
1072,5664,74,2,0.40,10.85,11.25,7.02,9.06,2.04,4.98,1.00,0.40,0.00,15.86
862,5055,50,3,1.20,20.92,20.98,16.01,20.45,4.44,11.57,0.13,0.06,0.00,25.52
974,6797,135,5,0.01,0.34,0.34,0.19,0.19,0.00,0.19,0.00,0.00,0.00,0.00
890,6484,21,5,0.56,27.51,27.51,18.98,18.98,0.00,18.98,1.56,0.00,0.00,26.37
911,193,124,2,0.57,10.95,10.95,8.35,8.35,0.00,8.35,1.03,0.00,0.00,10.83
1058,5481,55,5,1.89,27.05,29.36,20.14,25.54,5.40,14.75,0.00,2.31,0.00,33.54
785,653,11,3,9.77,132.21,139.94,156.05,208.70,52.65,103.40,0.00,7.73,0.00,265.19
820,5168,97,3,0.23,7.67,7.69,6.05,6.05,0.00,6.05,0.00,0.01,0.00,8.11
967,8350,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
1058,6853,113,4,0.31,8.58,8.74,6.16,7.74,1.58,4.58,0.73,0.16,0.00,11.77
729,5527,20,5,0.06,1.68,1.69,1.23,1.23,0.00,1.23,0.00,0.01,0.00,1.56
736,7091,39,4,6.30,102.33,102.33,84.51,105.51,21.00,63.51,0.00,0.00,0.00,80.32
729,530,143,5,0.60,8.32,8.84,6.95,8.65,1.70,5.25,0.00,0.53,0.00,0.00
778,5014,142,3,0.23,1.86,1.90,2.84,2.84,0.00,2.84,0.00,0.04,0.00,0.00
1072,1610,148,1,0.90,23.60,25.21,16.80,16.80,0.00,16.80,0.00,1.61,0.00,25.22
