customer_key,customer_id,customer_name,sub_trade_channel,trade_channel,super_channel,business_segment,business_type,sales_organization,sales_office,market_unit,cdm_tier
1,500007625,UNICOI CO MS,EDUCATION - NON REST,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
2,500008717,ROADRUNNER #6054,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
3,500008718,ROADRUNNER #6055,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
4,500008720,CIRCLE A CONVENIENCE #2,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
5,500008848,DOLLAR GENERAL #04763,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
6,500008851,DOLLAR GENERAL #00453,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
7,500008854,DOLLAR GENERAL #02523,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
8,500008862,DOLLAR GENERAL #04303,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
9,500008874,DOLLAR GENERAL #09844,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
10,500008901,DOLLAR GENERAL #11192,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
11,500008921,WALGREENS #11907,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
12,500008951,WALGREENS #09428,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
13,500009005,MURPHY USA #7207,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
14,500009163,QUICK STOP #0005,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
15,500009181,ROADRUNNER #6029,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
16,500009205,REDI MART #11,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
17,500009317,RACEWAY #730,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
18,500009340,D AND R MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
19,500009433,WALGREENS #13891,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
20,500009519,WALGREENS #13660,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
21,500009528,REDI MART #4,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
22,500009653,INDIAN CREEK MARKET AND DELI INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
23,500009660,PRICELESS #0487,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
24,500009670,LEE FOOD MART #0105,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
25,500009715,DOLLAR GENERAL #13734,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
26,500009727,HAMPTON INN DANDRIDGE,HOTEL/MOTEL/RESORT/I,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
27,500009756,FOOD CITY #0663,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
28,500009853,DOLLAR GENERAL #12414,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
29,500009877,FASTOP #0227,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
30,500009903,ZOOMERZ #957,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
31,500009905,ZOOMERZ #980,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
32,500010039,GREENES SUPERMARKET,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
33,500010055,QUICK STOP #0003,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
34,500010160,INGLES #0313,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
35,500010192,QUICK STOP #0008,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
36,500010207,ROADRUNNER #6008,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
37,500010236,WHITESBURG MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
38,500010253,ROADRUNNER #6015,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
39,500010288,ROADRUNNER #6005,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
40,500010290,ROADRUNNER #6009,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
41,500010309,WALMART #0599 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,Melissa Covert
42,500010310,ROADRUNNER #6023,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
43,500010345,KENJO #17,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
44,500010390,WALMART #3234 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,Melissa Covert
45,500010409,INGLES #0372,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
46,500010410,TUSCULUM COLLEGE FOOTBALL,COLLEGE,COLLEGE/UNIVERSITY,EDUCATIONAL,ON PREMISE,Secondary Volume,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
47,500010417,FAST LANE CONVENIENCE,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
48,500010460,FOOD CITY #0630,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
49,500010593,AUTOZONE #0340,OTHER AUTOMOTIVE SER,AUTOMOTIVE SERVICES,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
50,500010636,TINSLEY BIBLE DRUG STORE,OTHER SPECIALTY SERV,RETAIL SPECIALTY SERVICES,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
51,500010646,ROADRUNNER #6045,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
52,500010727,ROADRUNNER #6043,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
53,500010739,DOLLAR GENERAL #02914,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
54,500010778,DAVY CROCKETT TRUCK STOP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
55,500010787,QUICK STOP #0015,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
56,500010800,WEIGELS #0081,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
57,500010815,PRICELESS #0469,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"JOHNSON CITY, TN",MID SOUTH MUGM,
58,500010822,HALL MART BP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
59,500017781,CHAPMAN FOODMART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
60,500017791,QUICK MARKET #4,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
61,500017897,KWIK PANTRY #200,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
62,500018033,J AND C MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
63,500018427,WALMART #4223 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,Melissa Covert
64,500018535,MAPCO #3697,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
65,500019394,DOLLAR GENERAL #01587,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
66,500019408,DOLLAR GENERAL #04423,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
67,500019413,DOLLAR GENERAL #02553,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
68,500019418,DOLLAR GENERAL #00288,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
69,500019442,DOLLAR GENERAL #02306,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
70,500019444,DOLLAR GENERAL #03521,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
71,500019537,CHILIS,FSR-ALL OTHER,FULL SERVICE RESTAURANT-FSR,EATING & DRINKING,ON PREMISE,Secondary Volume,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
72,500019662,HOLIDAY MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
73,500019714,MURPHY USA #7450,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
74,500019808,LEE FOOD MART #0022,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
75,500019844,RARITY BAY BP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
76,500020118,FOOD CITY #0680,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
77,500020168,MURPHY USA #8516,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
78,500020773,FOOD CITY #0685,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
79,500021258,HMS HOST,AIRPORT,TRANSPORTATION,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
80,500021542,BEEF JERKY EXPERIENCE #0002,OTHER GENERAL MERCHA,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
81,500022877,DOLLAR TREE #2944,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
82,500023038,MORRISONS #13626 FORT LOUDON,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
83,500023050,SMOKEYS MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
84,500023552,EZ STOP #0016,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
85,500023718,WALGREENS #03137,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
86,500023726,WALMART #0578 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,Melissa Covert
87,500024202,DOLLAR GENERAL #11750,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
88,500024301,FASTOP #0226,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
89,500025041,WALMART #1319 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,Melissa Covert
90,500025505,WOODLAND MARKET AND DELI,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
91,500025529,KENJO #42,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
92,500025949,EASY STOP EXPRESS MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
93,500026562,JAY GOPAL INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
94,500026757,COOK OUT #0086 CA,QSR-HAMBURGER,QUICK SERVICE RESTAURANT- QSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
95,500026779,DOLLAR GENERAL #12661,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
96,500026811,WALMART #1319 SC,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,FSV - Full Service,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
97,500026830,AUTOZONE #4549,OTHER AUTOMOTIVE SER,AUTOMOTIVE SERVICES,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
98,500027048,WEIGELS #0075,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
99,500027069,STEM SCHOOL CAFE,SECONDARY/HIGH SCHOO,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
100,500027124,DOMINOS #8704,QSR-PIZZA,QUICK SERVICE RESTAURANT- QSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
101,500027340,EXPRESS MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
102,500027346,NAMA SUSHI BAR,FSR-ASIAN,FULL SERVICE RESTAURANT-FSR,EATING & DRINKING,ON PREMISE,Secondary Volume,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
103,500027398,PUBLIX #1416,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
104,500027774,FOOD MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
105,500027781,PUBLIX #1415,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
