product_key,product_id,product_name,planning_product_group,planning_package_group,planning_super_category,planning_category,planning_package_brand_group,raw_to_spc_factor,raw_to_eq_factor
1,PPG000001000003,Core Power Elite 14oz PET,PPG000001000003,Protein/Dairy,Still,Protein/Dairy,Core Power,0.5000,0.8750
2,PPG000001000005,DASANI 0.5Lt PET 24pk,PPG000001000005,DASANI,Still,Water,DASANI,1.0000,2.1125
3,PPG000001000006,DASANI 0.5Lt PET 32pk,PPG000001000006,DASANI,Still,Water,DASANI,1.3333,2.8167
4,PPG000001000007,DASANI 0.5Lt PET 6pk,PPG000001000007,DASANI,Still,Water,DASANI,1.0000,2.1125
5,PPG000010000010,DASANI 12oz PET 8pk,PPG000010000010,DASANI,Still,Water,DASANI,1.0000,1.5000
6,PPG000010000011,DASANI 1Lt PET (12/cs),PPG000010000011,DASANI,Still,Water,DASANI,1.0000,2.1134
7,PPG000010000013,DASANI 20oz PET,PPG000010000013,DASANI,Still,Water,DASANI,1.0000,2.5000
8,PPG000010000015,DASANI 300ML Single,PPG000010000015,DASANI,Still,Water,DASANI,1.0000,1.2680
9,PPG000010000022,Dunkin Donuts 13.7oz PET (12/cs),PPG000010000022,Coffee,Still,RTD Coffee,Dunkin,0.5000,0.8563
10,PPG000010000028,Gold Peak 0.5L PET 6pk,PPG000010000028,Tea,Still,RTD Tea,Gold Peak,1.0000,2.1125
11,PPG000010000031,Gold Peak 18.5oz PET (12/cs),PPG000010000031,Tea,Still,RTD Tea,Gold Peak,0.5000,1.1563
12,PPG000010000037,Honest Tea 0.5L PET (12/cs),PPG000010000037,Tea,Still,RTD Tea,Remaining Still,0.5000,1.0563
13,PPG000010000047,MM 100% 12oz PET (24/cs),PPG000010000047,Juice,Still,Juice Drinks,Minute Maid,1.0000,1.5000
14,PPG000010000051,MMR 20oz PET Single,PPG000010000051,Juice,Still,Juice Drinks,Minute Maid,1.0000,2.5000
15,PPG000010000054,MONSTER 15.5oz Can 4pk,PPG000010000054,MEC Energy,Still,Energy,MONSTER Energy,1.0000,1.9375
16,PPG000010000057,MONSTER 16oz Can 4pk,PPG000010000057,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
17,PPG000010000058,MONSTER 16oz Can Single (24/cs),PPG000010000058,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
18,PPG000010000059,MONSTER 18.6oz Can Single (12/cs),PPG000010000059,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.1625
19,PPG000010000060,MONSTER 24oz Can Single (12/cs),PPG000010000060,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.5000
20,PPG000010000070,MONSTER Java 15oz Can (12/cs),PPG000010000070,Coffee,Still,RTD Coffee,MONSTER Java,0.5000,0.9375
21,PPG000010000074,MONSTER NRG Juice 15.5oz Can (24/cs),PPG000010000074,MEC Energy,Still,Energy,MONSTER Energy,1.0000,1.9375
22,PPG000010000077,NRG 16oz Can (24/cs),PPG000010000077,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
23,PPG000010000078,NRG 16oz Can 24pk (Club),PPG000010000078,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
24,PPG000010000079,NRG 16oz Can 8pk,PPG000010000079,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
25,PPG000010000081,NRG 24oz Can (12/cs),PPG000010000081,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.5000
26,PPG000010000082,PEACE Tea 23oz Can Single (12/cs),PPG000010000082,Tea,Still,RTD Tea,Remaining Still,0.5000,1.4375
27,PPG000010000086,POWERADE 20oz 8pk PET,PPG000010000086,POWERADE,Still,Sports Drinks,POWERADE,1.0000,2.5000
28,PPG000010000087,POWERADE 20oz Single,PPG000010000087,POWERADE,Still,Sports Drinks,POWERADE,1.0000,2.5000
29,PPG000010000092,smartwater 1.5L PET,PPG000010000092,smartwater,Still,Enhanced Water,smartwater,1.0000,3.1701
30,PPG000010000093,smartwater 16.9oz PET 6pk,PPG000010000093,smartwater,Still,Enhanced Water,smartwater,1.0000,2.1125
31,PPG000010000094,smartwater 1L 6pk,PPG000010000094,smartwater,Still,Enhanced Water,smartwater,1.0000,2.1134
32,PPG000010000095,smartwater 1L PET,PPG000010000095,smartwater,Still,Enhanced Water,smartwater,1.0000,2.1134
33,PPG000010000096,smartwater 20oz PET Single,PPG000010000096,smartwater,Still,Enhanced Water,smartwater,1.0000,2.5000
34,PPG000010000097,smartwater 700ml PET 6pk,PPG000010000097,smartwater,Still,Enhanced Water,smartwater,1.0000,2.9625
35,PPG000010000098,smartwater 700ml PET Singles,PPG000010000098,smartwater,Still,Enhanced Water,smartwater,1.0000,2.9588
