date_key,customer_key,product_key,territory_key,volume_raw,dn_rev,net_revenue,total_cogs,base_cogs,ip_cogs,ps_cogs,cma_on_invoice,cma_non_invoice,lmp_funding,authorized_revenue,purchase_transactions,consumption_transactions
967,8864,117,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
855,3664,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
771,8421,50,1,1.00,13.92,15.28,10.28,8.99,2.61,7.66,0.00,1.36,0.00,15.28,8,8
967,3180,33,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
890,5755,49,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,5571,124,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,8775,19,1,4.00,139.00,139.00,101.32,101.32,0.00,101.32,0.00,0.00,0.00,288.00,48,48
890,5455,84,5,1.00,19.63,20.52,16.07,16.07,0.00,16.07,0.00,0.89,0.00,20.52,12,12
967,3,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
743,428,76,4,1.00,19.00,19.44,15.86,15.68,0.00,15.86,3.40,0.44,0.00,72.00,12,12
1086,6520,117,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1065,8054,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,1515,49,1,12.00,223.53,260.64,142.59,123.08,43.67,98.91,0.00,37.11,0.00,260.64,96,96
736,8732,46,1,8.00,287.60,287.60,157.80,88.14,53.98,103.81,0.00,0.00,0.00,768.00,192,192
799,2789,58,4,10.00,112.43,127.70,67.48,66.26,0.00,67.48,0.00,15.27,0.00,240.00,120,120
778,4651,126,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1079,6041,131,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,3927,79,5,4.00,66.56,71.56,74.10,41.10,29.21,44.90,0.00,5.00,0.00,71.56,48,48
890,4474,145,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1065,5720,27,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
736,5520,115,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1072,2706,29,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
890,2491,20,2,5.00,148.10,148.10,104.35,104.35,0.00,104.35,5.00,0.00,0.00,172.00,60,60
876,4598,35,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
729,5916,38,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,6829,46,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
848,996,17,4,7.00,306.95,306.95,239.32,236.39,0.00,239.32,35.00,0.00,0.00,390.53,168,168
834,8107,58,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
834,8693,46,1,22.00,835.40,845.02,452.22,236.83,156.80,295.41,0.00,9.62,0.00,845.02,528,528
967,6134,11,5,2.00,34.58,36.60,34.35,21.66,11.75,22.59,0.00,2.02,0.00,36.60,24,24
848,5292,39,3,22.00,316.36,316.36,276.17,219.93,62.96,213.22,0.00,0.00,0.00,377.08,44,660
827,1597,135,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
939,8474,59,1,4.00,82.68,90.32,107.36,54.64,37.77,69.59,0.00,7.64,0.00,90.32,16,96
1065,8602,25,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,900,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
729,6355,21,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
876,8024,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
750,6360,114,5,6.00,155.58,162.00,121.20,121.20,0.00,121.20,0.00,6.42,0.00,162.00,24,144
918,1887,11,5,4.00,74.05,74.72,72.62,43.92,25.17,47.45,0.00,0.67,0.00,80.36,48,48
1030,1348,84,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
799,3976,32,2,2.00,38.18,43.16,42.15,22.84,16.75,25.39,0.00,4.98,0.00,43.16,24,24
876,4105,33,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,2427,49,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
974,591,18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
974,6642,46,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,5503,1,5,12.00,454.96,456.48,374.28,374.28,0.00,374.28,0.00,1.52,0.00,456.48,144,144
764,4487,20,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,7591,35,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,7900,17,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
848,3418,11,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1086,6748,20,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
848,284,130,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1079,7634,140,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
771,1363,28,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,5470,56,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
834,8619,15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
918,6392,84,5,3.00,57.69,58.20,48.21,48.21,0.00,48.21,0.00,0.51,0.00,58.20,36,36
827,3892,64,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,5136,126,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
862,1535,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
883,5912,126,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,931,74,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
778,5203,88,3,2.00,38.14,39.58,36.35,23.70,11.34,25.02,0.00,1.44,0.00,39.58,30,30
792,1734,76,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,3365,46,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
778,2318,103,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1058,3485,88,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
967,5379,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
862,862,27,5,1.00,15.60,15.60,16.64,12.03,4.64,12.01,0.00,0.00,0.00,15.60,3,24
743,3238,13,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1079,8466,124,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
918,3295,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
848,1205,124,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
939,7132,126,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
918,6560,32,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1072,5664,74,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
862,5055,50,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
974,6797,135,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
890,6484,21,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
911,193,124,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1058,5481,55,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,3737,35,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,653,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1065,8156,74,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,4379,82,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
820,5168,97,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
967,4888,136,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
771,755,99,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
967,8350,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1058,6853,113,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
729,5527,20,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
736,7091,39,4,6.00,97.38,97.38,80.60,62.92,19.91,60.68,0.00,0.00,0.00,97.38,12,180
729,530,143,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
778,5014,142,3,3.00,48.48,54.00,46.24,36.48,9.65,36.59,0.00,5.52,0.00,54.00,72,72
1072,1610,148,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
939,9255,28,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
876,1284,46,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
876,1318,46,2,8.00,276.96,287.36,157.35,82.09,55.12,102.24,0.00,10.40,0.00,287.36,192,192
1058,2956,145,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
967,7804,2,1,5.00,30.75,30.75,15.97,15.97,0.00,15.97,0.00,0.00,0.00,43.30,5,120
967,1654,28,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1002,126,93,4,1.00,13.14,14.64,10.52,7.25,2.61,7.90,0.00,1.50,0.00,14.64,4,24
876,6162,148,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
862,7998,20,1,6.00,183.72,183.72,125.22,125.22,0.00,125.22,0.00,0.00,0.00,240.00,72,72
946,1832,148,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
778,8892,75,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,86,87,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
883,8053,76,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
946,654,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
848,7566,74,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,1540,76,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,4224,17,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
883,2806,135,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
736,1900,74,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
